href,id,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
https://api.spotify.com/v1/artists/4mtHSXwIHihO6MWNq5Qoko,4mtHSXwIHihO6MWNq5Qoko,Squarepusher,49,artist,spotify:artist:4mtHSXwIHihO6MWNq5Qoko,https://open.spotify.com/artist/4mtHSXwIHihO6MWNq5Qoko,NA,125645
https://api.spotify.com/v1/artists/2VAvhf61GgLYmC6C8anyX1,2VAvhf61GgLYmC6C8anyX1,Boards of Canada,60,artist,spotify:artist:2VAvhf61GgLYmC6C8anyX1,https://open.spotify.com/artist/2VAvhf61GgLYmC6C8anyX1,NA,363849
https://api.spotify.com/v1/artists/6WH1V41LwGDGmlPUhSZLHO,6WH1V41LwGDGmlPUhSZLHO,Autechre,45,artist,spotify:artist:6WH1V41LwGDGmlPUhSZLHO,https://open.spotify.com/artist/6WH1V41LwGDGmlPUhSZLHO,NA,117242
https://api.spotify.com/v1/artists/6kic5bCjlohhDn9KzXbOta,6kic5bCjlohhDn9KzXbOta,Clark,44,artist,spotify:artist:6kic5bCjlohhDn9KzXbOta,https://open.spotify.com/artist/6kic5bCjlohhDn9KzXbOta,NA,87812
https://api.spotify.com/v1/artists/3csPCeXsj2wezyvkRFzvmV,3csPCeXsj2wezyvkRFzvmV,Orbital,53,artist,spotify:artist:3csPCeXsj2wezyvkRFzvmV,https://open.spotify.com/artist/3csPCeXsj2wezyvkRFzvmV,NA,201283
https://api.spotify.com/v1/artists/3mvkWMe6swnknwscwvGCHO,3mvkWMe6swnknwscwvGCHO,Amon Tobin,49,artist,spotify:artist:3mvkWMe6swnknwscwvGCHO,https://open.spotify.com/artist/3mvkWMe6swnknwscwvGCHO,NA,170251
https://api.spotify.com/v1/artists/5HAtRoEPUvGSA7ziTGB1cF,5HAtRoEPUvGSA7ziTGB1cF,The Orb,50,artist,spotify:artist:5HAtRoEPUvGSA7ziTGB1cF,https://open.spotify.com/artist/5HAtRoEPUvGSA7ziTGB1cF,NA,99087
https://api.spotify.com/v1/artists/7Eu1txygG6nJttLHbZdQOh,7Eu1txygG6nJttLHbZdQOh,Four Tet,69,artist,spotify:artist:7Eu1txygG6nJttLHbZdQOh,https://open.spotify.com/artist/7Eu1txygG6nJttLHbZdQOh,NA,424973
https://api.spotify.com/v1/artists/0uCCBpmg6MrPb1KY2msceF,0uCCBpmg6MrPb1KY2msceF,Burial,53,artist,spotify:artist:0uCCBpmg6MrPb1KY2msceF,https://open.spotify.com/artist/0uCCBpmg6MrPb1KY2msceF,NA,256565
https://api.spotify.com/v1/artists/1qiwaJwjKod5WhcYZ76O1B,1qiwaJwjKod5WhcYZ76O1B,Tim Hecker,47,artist,spotify:artist:1qiwaJwjKod5WhcYZ76O1B,https://open.spotify.com/artist/1qiwaJwjKod5WhcYZ76O1B,NA,82362
https://api.spotify.com/v1/artists/6kBDZFXuLrZgHnvmPu9NsG,6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,64,artist,spotify:artist:6kBDZFXuLrZgHnvmPu9NsG,https://open.spotify.com/artist/6kBDZFXuLrZgHnvmPu9NsG,NA,567395
https://api.spotify.com/v1/artists/1PXHzxRDiLnjqNrRn2Xbsa,1PXHzxRDiLnjqNrRn2Xbsa,Underworld,60,artist,spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa,https://open.spotify.com/artist/1PXHzxRDiLnjqNrRn2Xbsa,NA,355044
