"","x"
"1",-0.0557528807295418
"2",-0.0541111892157774
"3",-0.052881595851628
"4",-0.0530584138806853
"5",-0.051824686498375
"6",-0.0467243887887932
"7",-0.0439219053098042
"8",-0.0597917401958018
"9",-0.0474114275667001
"10",-0.0472314296447516
"11",-0.0464742485529318
"12",-0.0579967125473067
"13",-0.0495946731220068
"14",-0.0527073022026246
"15",-0.0516639401968781
"16",-0.0470335740863561
"17",-0.0535634492406765
"18",-0.0566066832676627
"19",-0.0525866636726838
"20",-0.0503247820397724
"21",-0.0538813255607924
"22",-0.0539524858499684
"23",-0.0519044144420747
"24",-0.0530378251745753
"25",-0.0345209164839282
"26",-0.0401994611861736
"27",-0.0384357252433271
"28",-0.0419806655518968
"29",-0.0425816137379263
"30",-0.0429120683909454
"31",-0.0512312028461761
"32",-0.0585961039111266
"33",-0.0498796201469344
"34",-0.0466641821190972
"35",-0.052461546263959
"36",-0.0585509733464847
"37",-0.0617511918653007
"38",-0.0591163179079754
"39",-0.052480078557824
"40",-0.0543362771697371
"41",-0.038946764651441
"42",-0.0447530690109339
"43",-0.0312264370504966
"44",-0.0400899680163081
"45",-0.0403908237527725
"46",-0.0430288432978467
"47",-0.037834577928944
"48",-0.0411533959766769
"49",-0.0379907211763416
"50",-0.0465192474416585
"51",-0.0418546356059836
"52",-0.0432206352599354
"53",-0.0538907402594003
"54",-0.0469619227451815
"55",-0.0456837174210307
"56",-0.0549245364200459
"57",-0.0532841837066494
"58",-0.0512828739462736
"59",-0.0549344871359653
"60",-0.0489646735178742
"61",-0.0475201007101359
"62",-0.0516176566511467
"63",-0.0444933190264106
"64",-0.0607803510683357
"65",-0.0551687292084088
"66",-0.0537263342069873
"67",-0.053172216724611
"68",-0.0440824659982628
"69",-0.0408542155733505
"70",-0.0358066306027409
"71",-0.0437109763948335
"72",-0.049914627476556
"73",-0.0482569142834523
"74",-0.0432425980023362
"75",-0.0511491175108597
"76",-0.0436935376279389
"77",-0.0466347318339108
"78",-0.0503330682518607
"79",-0.0447015351909908
"80",-0.0485832718785356
"81",-0.0553227782960866
"82",-0.0452800054368619
"83",-0.0564535033919356
"84",-0.0628498568216471
"85",-0.0504601178528193
"86",-0.0575531088727138
"87",-0.0500484524692839
"88",-0.056293903508626
"89",-0.0613069145959054
"90",-0.0624389305540875
"91",-0.057387607036991
"92",-0.0644703165495096
"93",-0.0644615095331871
"94",-0.0574519251890047
"95",-0.0419191815740244
"96",-0.0463817224819578
"97",-0.045477501507412
"98",-0.0446797208077903
"99",-0.0442578352894369
"100",-0.0512865962804346
"101",-0.0486593743157478
"102",-0.0509383772900153
"103",-0.053092716518027
"104",-0.0568986055365658
"105",-0.0546248686231534
"106",-0.0582824146479865
"107",-0.0459216209042251
"108",-0.0451410513699722
"109",-0.0426532890125346
"110",-0.0472597453591572
"111",-0.0423755348720905
"112",-0.0515503455017646
"113",-0.0580708540230557
"114",-0.055665298018874
"115",-0.0493226471049504
"116",-0.0503399926031821
"117",-0.0387045166759428
"118",-0.0425381281183928
"119",-0.0477877494914201
"120",-0.0411232122829157
"121",-0.0451940667089077
"122",-0.0463234355132941
"123",-0.0515244384424269
"124",-0.0433673374146065
"125",-0.0369551144090724
"126",-0.0537974192856839
"127",-0.0553172648082897
"128",-0.054045849932777
"129",-0.0434278038265359
"130",-0.0556960502735464
"131",-0.0511218998234017
"132",-0.0555139490939387
"133",-0.0459580653385898
"134",-0.0458323093001522
"135",-0.0519208504298506
"136",-0.0557140235123948
"137",-0.0514158296179407
"138",-0.0648996597604257
"139",-0.0621763130875807
"140",-0.0372106245744329
"141",-0.0351744799021226
"142",-0.0440573305904589
"143",-0.037650020127015
"144",-0.0379602486836871
"145",-0.0444547491522692
"146",-0.0451497422245232
"147",-0.0450413142560721
"148",-0.0386937832903262
"149",-0.0415578355687661
"150",-0.0437151712999866
"151",-0.0406813713386709
"152",-0.0474817128209734
"153",-0.0438605511248156
"154",-0.0451271688933267
"155",-0.0469000675608344
"156",-0.0436736250059953
"157",-0.0373635836511021
"158",-0.0376970859264458
"159",-0.0427595814880951
"160",-0.0409550562750514
"161",-0.0459240218652199
"162",-0.0440141275405625
"163",-0.0360572352700649
"164",-0.0489517573660197
"165",-0.0571009863105987
"166",-0.045592215046473
"167",-0.0543807842162252
"168",-0.0506913508232217
"169",-0.046513475066308
