n,ctl,t0,lift,power
1e3,0.1,0.5,0.01,0.054
2500,0.1,0.5,0.01,0.059
5e3,0.1,0.5,0.01,0.073
1e4,0.1,0.5,0.01,0.106
15e3,0.1,0.5,0.01,0.116
2e4,0.1,0.5,0.01,0.138
1e3,0.15000000000000002,0.5,0.01,0.052
2500,0.15000000000000002,0.5,0.01,0.064
5e3,0.15000000000000002,0.5,0.01,0.074
1e4,0.15000000000000002,0.5,0.01,0.117
15e3,0.15000000000000002,0.5,0.01,0.137
2e4,0.15000000000000002,0.5,0.01,0.165
1e3,0.2,0.5,0.01,0.046
2500,0.2,0.5,0.01,0.063
5e3,0.2,0.5,0.01,0.084
1e4,0.2,0.5,0.01,0.134
15e3,0.2,0.5,0.01,0.165
2e4,0.2,0.5,0.01,0.195
1e3,0.25,0.5,0.01,0.065
2500,0.25,0.5,0.01,0.052
5e3,0.25,0.5,0.01,0.084
1e4,0.25,0.5,0.01,0.128
15e3,0.25,0.5,0.01,0.183
2e4,0.25,0.5,0.01,0.226
1e3,0.30000000000000004,0.5,0.01,0.056
2500,0.30000000000000004,0.5,0.01,0.082
5e3,0.30000000000000004,0.5,0.01,0.087
1e4,0.30000000000000004,0.5,0.01,0.142
15e3,0.30000000000000004,0.5,0.01,0.215
2e4,0.30000000000000004,0.5,0.01,0.244
1e3,0.35,0.5,0.01,0.058
2500,0.35,0.5,0.01,0.091
5e3,0.35,0.5,0.01,0.1
1e4,0.35,0.5,0.01,0.169
15e3,0.35,0.5,0.01,0.22
2e4,0.35,0.5,0.01,0.275
1e3,0.4,0.5,0.01,0.072
2500,0.4,0.5,0.01,0.069
5e3,0.4,0.5,0.01,0.112
1e4,0.4,0.5,0.01,0.167
15e3,0.4,0.5,0.01,0.244
2e4,0.4,0.5,0.01,0.28
1e3,0.45000000000000007,0.5,0.01,0.073
2500,0.45000000000000007,0.5,0.01,0.068
5e3,0.45000000000000007,0.5,0.01,0.115
1e4,0.45000000000000007,0.5,0.01,0.174
15e3,0.45000000000000007,0.5,0.01,0.251
2e4,0.45000000000000007,0.5,0.01,0.283
1e3,0.5,0.5,0.01,0.051
2500,0.5,0.5,0.01,0.076
5e3,0.5,0.5,0.01,0.095
1e4,0.5,0.5,0.01,0.174
15e3,0.5,0.5,0.01,0.236
2e4,0.5,0.5,0.01,0.329
1e3,0.1,0.5,0.02,0.057
2500,0.1,0.5,0.02,0.088
5e3,0.1,0.5,0.02,0.147
1e4,0.1,0.5,0.02,0.22
15e3,0.1,0.5,0.02,0.318
2e4,0.1,0.5,0.02,0.393
1e3,0.15000000000000002,0.5,0.02,0.076
2500,0.15000000000000002,0.5,0.02,0.128
5e3,0.15000000000000002,0.5,0.02,0.186
1e4,0.15000000000000002,0.5,0.02,0.313
15e3,0.15000000000000002,0.5,0.02,0.423
2e4,0.15000000000000002,0.5,0.02,0.484
1e3,0.2,0.5,0.02,0.09
2500,0.2,0.5,0.02,0.12
5e3,0.2,0.5,0.02,0.212
1e4,0.2,0.5,0.02,0.376
15e3,0.2,0.5,0.02,0.544
2e4,0.2,0.5,0.02,0.606
1e3,0.25,0.5,0.02,0.082
2500,0.25,0.5,0.02,0.126
5e3,0.25,0.5,0.02,0.253
1e4,0.25,0.5,0.02,0.413
15e3,0.25,0.5,0.02,0.568
2e4,0.25,0.5,0.02,0.694
1e3,0.30000000000000004,0.5,0.02,0.08
2500,0.30000000000000004,0.5,0.02,0.137
5e3,0.30000000000000004,0.5,0.02,0.271
1e4,0.30000000000000004,0.5,0.02,0.456
15e3,0.30000000000000004,0.5,0.02,0.603
2e4,0.30000000000000004,0.5,0.02,0.73
1e3,0.35,0.5,0.02,0.087
2500,0.35,0.5,0.02,0.159
5e3,0.35,0.5,0.02,0.263
1e4,0.35,0.5,0.02,0.493
15e3,0.35,0.5,0.02,0.651
2e4,0.35,0.5,0.02,0.759
1e3,0.4,0.5,0.02,0.078
2500,0.4,0.5,0.02,0.174
5e3,0.4,0.5,0.02,0.273
1e4,0.4,0.5,0.02,0.499
15e3,0.4,0.5,0.02,0.702
2e4,0.4,0.5,0.02,0.817
1e3,0.45000000000000007,0.5,0.02,0.094
2500,0.45000000000000007,0.5,0.02,0.187
5e3,0.45000000000000007,0.5,0.02,0.277
1e4,0.45000000000000007,0.5,0.02,0.52
15e3,0.45000000000000007,0.5,0.02,0.684
2e4,0.45000000000000007,0.5,0.02,0.798
1e3,0.5,0.5,0.02,0.116
2500,0.5,0.5,0.02,0.155
5e3,0.5,0.5,0.02,0.285
1e4,0.5,0.5,0.02,0.516
15e3,0.5,0.5,0.02,0.669
2e4,0.5,0.5,0.02,0.808
1e3,0.1,0.5,0.03,0.092
2500,0.1,0.5,0.03,0.142
5e3,0.1,0.5,0.03,0.229
1e4,0.1,0.5,0.03,0.414
15e3,0.1,0.5,0.03,0.595
2e4,0.1,0.5,0.03,0.723
1e3,0.15000000000000002,0.5,0.03,0.106
2500,0.15000000000000002,0.5,0.03,0.199
5e3,0.15000000000000002,0.5,0.03,0.322
1e4,0.15000000000000002,0.5,0.03,0.599
15e3,0.15000000000000002,0.5,0.03,0.73
2e4,0.15000000000000002,0.5,0.03,0.848
1e3,0.2,0.5,0.03,0.111
2500,0.2,0.5,0.03,0.241
5e3,0.2,0.5,0.03,0.389
1e4,0.2,0.5,0.03,0.667
15e3,0.2,0.5,0.03,0.836
2e4,0.2,0.5,0.03,0.92
1e3,0.25,0.5,0.03,0.136
2500,0.25,0.5,0.03,0.289
5e3,0.25,0.5,0.03,0.455
1e4,0.25,0.5,0.03,0.738
15e3,0.25,0.5,0.03,0.887
2e4,0.25,0.5,0.03,0.968
1e3,0.30000000000000004,0.5,0.03,0.127
2500,0.30000000000000004,0.5,0.03,0.255
5e3,0.30000000000000004,0.5,0.03,0.479
1e4,0.30000000000000004,0.5,0.03,0.774
15e3,0.30000000000000004,0.5,0.03,0.923
2e4,0.30000000000000004,0.5,0.03,0.978
1e3,0.35,0.5,0.03,0.149
2500,0.35,0.5,0.03,0.303
5e3,0.35,0.5,0.03,0.527
1e4,0.35,0.5,0.03,0.813
15e3,0.35,0.5,0.03,0.949
2e4,0.35,0.5,0.03,0.975
1e3,0.4,0.5,0.03,0.154
2500,0.4,0.5,0.03,0.301
5e3,0.4,0.5,0.03,0.572
1e4,0.4,0.5,0.03,0.858
15e3,0.4,0.5,0.03,0.948
2e4,0.4,0.5,0.03,0.986
1e3,0.45000000000000007,0.5,0.03,0.144
2500,0.45000000000000007,0.5,0.03,0.342
5e3,0.45000000000000007,0.5,0.03,0.579
1e4,0.45000000000000007,0.5,0.03,0.851
15e3,0.45000000000000007,0.5,0.03,0.956
2e4,0.45000000000000007,0.5,0.03,0.987
1e3,0.5,0.5,0.03,0.134
2500,0.5,0.5,0.03,0.313
5e3,0.5,0.5,0.03,0.575
1e4,0.5,0.5,0.03,0.856
15e3,0.5,0.5,0.03,0.952
2e4,0.5,0.5,0.03,0.986
1e3,0.1,0.5,0.04,0.109
2500,0.1,0.5,0.04,0.235
5e3,0.1,0.5,0.04,0.376
1e4,0.1,0.5,0.04,0.659
15e3,0.1,0.5,0.04,0.824
2e4,0.1,0.5,0.04,0.921
1e3,0.15000000000000002,0.5,0.04,0.137
2500,0.15000000000000002,0.5,0.04,0.295
5e3,0.15000000000000002,0.5,0.04,0.539
1e4,0.15000000000000002,0.5,0.04,0.822
15e3,0.15000000000000002,0.5,0.04,0.941
2e4,0.15000000000000002,0.5,0.04,0.987
1e3,0.2,0.5,0.04,0.188
2500,0.2,0.5,0.04,0.382
5e3,0.2,0.5,0.04,0.648
1e4,0.2,0.5,0.04,0.88
15e3,0.2,0.5,0.04,0.971
2e4,0.2,0.5,0.04,0.991
1e3,0.25,0.5,0.04,0.197
2500,0.25,0.5,0.04,0.417
5e3,0.25,0.5,0.04,0.726
1e4,0.25,0.5,0.04,0.933
15e3,0.25,0.5,0.04,0.991
2e4,0.25,0.5,0.04,1
1e3,0.30000000000000004,0.5,0.04,0.197
2500,0.30000000000000004,0.5,0.04,0.478
5e3,0.30000000000000004,0.5,0.04,0.741
1e4,0.30000000000000004,0.5,0.04,0.959
15e3,0.30000000000000004,0.5,0.04,0.995
2e4,0.30000000000000004,0.5,0.04,1
1e3,0.35,0.5,0.04,0.223
2500,0.35,0.5,0.04,0.491
5e3,0.35,0.5,0.04,0.776
1e4,0.35,0.5,0.04,0.968
15e3,0.35,0.5,0.04,0.996
2e4,0.35,0.5,0.04,1
1e3,0.4,0.5,0.04,0.246
2500,0.4,0.5,0.04,0.529
5e3,0.4,0.5,0.04,0.791
1e4,0.4,0.5,0.04,0.968
15e3,0.4,0.5,0.04,0.997
2e4,0.4,0.5,0.04,1
1e3,0.45000000000000007,0.5,0.04,0.252
2500,0.45000000000000007,0.5,0.04,0.515
5e3,0.45000000000000007,0.5,0.04,0.81
1e4,0.45000000000000007,0.5,0.04,0.972
15e3,0.45000000000000007,0.5,0.04,0.996
2e4,0.45000000000000007,0.5,0.04,1
1e3,0.5,0.5,0.04,0.23
2500,0.5,0.5,0.04,0.518
5e3,0.5,0.5,0.04,0.808
1e4,0.5,0.5,0.04,0.985
15e3,0.5,0.5,0.04,1
2e4,0.5,0.5,0.04,1
1e3,0.1,0.5,0.05,0.156
2500,0.1,0.5,0.05,0.358
5e3,0.1,0.5,0.05,0.549
1e4,0.1,0.5,0.05,0.849
15e3,0.1,0.5,0.05,0.965
2e4,0.1,0.5,0.05,0.993
1e3,0.15000000000000002,0.5,0.05,0.21
2500,0.15000000000000002,0.5,0.05,0.449
5e3,0.15000000000000002,0.5,0.05,0.717
1e4,0.15000000000000002,0.5,0.05,0.948
15e3,0.15000000000000002,0.5,0.05,0.985
2e4,0.15000000000000002,0.5,0.05,0.999
1e3,0.2,0.5,0.05,0.232
2500,0.2,0.5,0.05,0.512
5e3,0.2,0.5,0.05,0.811
1e4,0.2,0.5,0.05,0.985
15e3,0.2,0.5,0.05,0.999
2e4,0.2,0.5,0.05,1
1e3,0.25,0.5,0.05,0.284
2500,0.25,0.5,0.05,0.581
5e3,0.25,0.5,0.05,0.857
1e4,0.25,0.5,0.05,0.994
15e3,0.25,0.5,0.05,1
2e4,0.25,0.5,0.05,1
1e3,0.30000000000000004,0.5,0.05,0.309
2500,0.30000000000000004,0.5,0.05,0.626
5e3,0.30000000000000004,0.5,0.05,0.891
1e4,0.30000000000000004,0.5,0.05,0.998
15e3,0.30000000000000004,0.5,0.05,1
2e4,0.30000000000000004,0.5,0.05,1
1e3,0.35,0.5,0.05,0.353
2500,0.35,0.5,0.05,0.64
5e3,0.35,0.5,0.05,0.91
1e4,0.35,0.5,0.05,0.998
15e3,0.35,0.5,0.05,1
2e4,0.35,0.5,0.05,1
1e3,0.4,0.5,0.05,0.359
2500,0.4,0.5,0.05,0.686
5e3,0.4,0.5,0.05,0.928
1e4,0.4,0.5,0.05,0.999
15e3,0.4,0.5,0.05,1
2e4,0.4,0.5,0.05,1
1e3,0.45000000000000007,0.5,0.05,0.342
2500,0.45000000000000007,0.5,0.05,0.708
5e3,0.45000000000000007,0.5,0.05,0.941
1e4,0.45000000000000007,0.5,0.05,0.999
15e3,0.45000000000000007,0.5,0.05,1
2e4,0.45000000000000007,0.5,0.05,1
1e3,0.5,0.5,0.05,0.353
2500,0.5,0.5,0.05,0.702
5e3,0.5,0.5,0.05,0.937
1e4,0.5,0.5,0.05,1
15e3,0.5,0.5,0.05,1
2e4,0.5,0.5,0.05,1
1e3,0.1,0.5,0.060000000000000005,0.193
