n,ctl,t0,lift,power
5e3,0.1,0.3,0.01,0.086
1e4,0.1,0.3,0.01,0.1
15e3,0.1,0.3,0.01,0.132
2e4,0.1,0.3,0.01,0.147
5e3,0.15000000000000002,0.3,0.01,0.091
1e4,0.15000000000000002,0.3,0.01,0.122
15e3,0.15000000000000002,0.3,0.01,0.154
2e4,0.15000000000000002,0.3,0.01,0.186
5e3,0.2,0.3,0.01,0.099
1e4,0.2,0.3,0.01,0.133
15e3,0.2,0.3,0.01,0.173
2e4,0.2,0.3,0.01,0.211
5e3,0.25,0.3,0.01,0.103
1e4,0.25,0.3,0.01,0.157
15e3,0.25,0.3,0.01,0.202
2e4,0.25,0.3,0.01,0.266
5e3,0.30000000000000004,0.3,0.01,0.102
1e4,0.30000000000000004,0.3,0.01,0.171
15e3,0.30000000000000004,0.3,0.01,0.232
2e4,0.30000000000000004,0.3,0.01,0.285
5e3,0.35,0.3,0.01,0.124
1e4,0.35,0.3,0.01,0.187
15e3,0.35,0.3,0.01,0.258
2e4,0.35,0.3,0.01,0.302
5e3,0.4,0.3,0.01,0.114
1e4,0.4,0.3,0.01,0.184
15e3,0.4,0.3,0.01,0.254
2e4,0.4,0.3,0.01,0.306
5e3,0.45000000000000007,0.3,0.01,0.125
1e4,0.45000000000000007,0.3,0.01,0.203
15e3,0.45000000000000007,0.3,0.01,0.241
2e4,0.45000000000000007,0.3,0.01,0.323
5e3,0.5,0.3,0.01,0.116
1e4,0.5,0.3,0.01,0.206
15e3,0.5,0.3,0.01,0.242
2e4,0.5,0.3,0.01,0.355
5e3,0.1,0.5,0.01,0.069
1e4,0.1,0.5,0.01,0.09
15e3,0.1,0.5,0.01,0.108
2e4,0.1,0.5,0.01,0.137
5e3,0.15000000000000002,0.5,0.01,0.086
1e4,0.15000000000000002,0.5,0.01,0.116
15e3,0.15000000000000002,0.5,0.01,0.165
2e4,0.15000000000000002,0.5,0.01,0.168
5e3,0.2,0.5,0.01,0.088
1e4,0.2,0.5,0.01,0.106
15e3,0.2,0.5,0.01,0.168
2e4,0.2,0.5,0.01,0.208
5e3,0.25,0.5,0.01,0.105
1e4,0.25,0.5,0.01,0.141
15e3,0.25,0.5,0.01,0.188
2e4,0.25,0.5,0.01,0.237
5e3,0.30000000000000004,0.5,0.01,0.097
1e4,0.30000000000000004,0.5,0.01,0.153
15e3,0.30000000000000004,0.5,0.01,0.204
2e4,0.30000000000000004,0.5,0.01,0.251
5e3,0.35,0.5,0.01,0.11
1e4,0.35,0.5,0.01,0.154
15e3,0.35,0.5,0.01,0.21
2e4,0.35,0.5,0.01,0.266
5e3,0.4,0.5,0.01,0.098
1e4,0.4,0.5,0.01,0.174
15e3,0.4,0.5,0.01,0.224
2e4,0.4,0.5,0.01,0.292
5e3,0.45000000000000007,0.5,0.01,0.123
1e4,0.45000000000000007,0.5,0.01,0.16
15e3,0.45000000000000007,0.5,0.01,0.238
2e4,0.45000000000000007,0.5,0.01,0.311
