n,ctl,t0,lift,power
1e3,0.1,0.5,0.01,0.054
5e3,0.1,0.5,0.01,0.074
1e4,0.1,0.5,0.01,0.095
15e3,0.1,0.5,0.01,0.118
2e4,0.1,0.5,0.01,0.139
1e3,0.15000000000000002,0.5,0.01,0.061
5e3,0.15000000000000002,0.5,0.01,0.089
1e4,0.15000000000000002,0.5,0.01,0.1
15e3,0.15000000000000002,0.5,0.01,0.156
2e4,0.15000000000000002,0.5,0.01,0.17
1e3,0.2,0.5,0.01,0.061
5e3,0.2,0.5,0.01,0.09
1e4,0.2,0.5,0.01,0.127
15e3,0.2,0.5,0.01,0.169
2e4,0.2,0.5,0.01,0.194
1e3,0.25,0.5,0.01,0.055
5e3,0.25,0.5,0.01,0.11
1e4,0.25,0.5,0.01,0.132
15e3,0.25,0.5,0.01,0.189
2e4,0.25,0.5,0.01,0.241
1e3,0.30000000000000004,0.5,0.01,0.06
5e3,0.30000000000000004,0.5,0.01,0.111
1e4,0.30000000000000004,0.5,0.01,0.127
15e3,0.30000000000000004,0.5,0.01,0.182
2e4,0.30000000000000004,0.5,0.01,0.239
1e3,0.35,0.5,0.01,0.065
5e3,0.35,0.5,0.01,0.096
1e4,0.35,0.5,0.01,0.17
15e3,0.35,0.5,0.01,0.207
2e4,0.35,0.5,0.01,0.266
1e3,0.4,0.5,0.01,0.068
5e3,0.4,0.5,0.01,0.098
1e4,0.4,0.5,0.01,0.176
15e3,0.4,0.5,0.01,0.232
2e4,0.4,0.5,0.01,0.298
1e3,0.45000000000000007,0.5,0.01,0.072
5e3,0.45000000000000007,0.5,0.01,0.12
1e4,0.45000000000000007,0.5,0.01,0.157
15e3,0.45000000000000007,0.5,0.01,0.244
2e4,0.45000000000000007,0.5,0.01,0.293
1e3,0.5,0.5,0.01,0.061
5e3,0.5,0.5,0.01,0.097
1e4,0.5,0.5,0.01,0.176
15e3,0.5,0.5,0.01,0.221
2e4,0.5,0.5,0.01,0.292
1e3,0.1,0.5,0.02,0.066
5e3,0.1,0.5,0.02,0.15
1e4,0.1,0.5,0.02,0.235
15e3,0.1,0.5,0.02,0.311
2e4,0.1,0.5,0.02,0.41
1e3,0.15000000000000002,0.5,0.02,0.063
5e3,0.15000000000000002,0.5,0.02,0.167
1e4,0.15000000000000002,0.5,0.02,0.306
15e3,0.15000000000000002,0.5,0.02,0.408
2e4,0.15000000000000002,0.5,0.02,0.52
1e3,0.2,0.5,0.02,0.083
5e3,0.2,0.5,0.02,0.197
1e4,0.2,0.5,0.02,0.354
15e3,0.2,0.5,0.02,0.497
2e4,0.2,0.5,0.02,0.622
1e3,0.25,0.5,0.02,0.074
5e3,0.25,0.5,0.02,0.222
1e4,0.25,0.5,0.02,0.414
15e3,0.25,0.5,0.02,0.588
2e4,0.25,0.5,0.02,0.674
1e3,0.30000000000000004,0.5,0.02,0.087
5e3,0.30000000000000004,0.5,0.02,0.28
1e4,0.30000000000000004,0.5,0.02,0.451
15e3,0.30000000000000004,0.5,0.02,0.609
2e4,0.30000000000000004,0.5,0.02,0.739
1e3,0.35,0.5,0.02,0.1
5e3,0.35,0.5,0.02,0.255
1e4,0.35,0.5,0.02,0.487
15e3,0.35,0.5,0.02,0.639
2e4,0.35,0.5,0.02,0.758
1e3,0.4,0.5,0.02,0.094
5e3,0.4,0.5,0.02,0.267
1e4,0.4,0.5,0.02,0.514
15e3,0.4,0.5,0.02,0.669
2e4,0.4,0.5,0.02,0.793
1e3,0.45000000000000007,0.5,0.02,0.092
5e3,0.45000000000000007,0.5,0.02,0.286
1e4,0.45000000000000007,0.5,0.02,0.555
15e3,0.45000000000000007,0.5,0.02,0.711
2e4,0.45000000000000007,0.5,0.02,0.797
1e3,0.5,0.5,0.02,0.095
5e3,0.5,0.5,0.02,0.315
1e4,0.5,0.5,0.02,0.526
15e3,0.5,0.5,0.02,0.668
2e4,0.5,0.5,0.02,0.811
1e3,0.1,0.5,0.03,0.097
5e3,0.1,0.5,0.03,0.234
1e4,0.1,0.5,0.03,0.44
15e3,0.1,0.5,0.03,0.58
2e4,0.1,0.5,0.03,0.714
1e3,0.15000000000000002,0.5,0.03,0.095
5e3,0.15000000000000002,0.5,0.03,0.334
1e4,0.15000000000000002,0.5,0.03,0.572
15e3,0.15000000000000002,0.5,0.03,0.762
2e4,0.15000000000000002,0.5,0.03,0.855
1e3,0.2,0.5,0.03,0.104
5e3,0.2,0.5,0.03,0.396
1e4,0.2,0.5,0.03,0.673
15e3,0.2,0.5,0.03,0.839
2e4,0.2,0.5,0.03,0.921
1e3,0.25,0.5,0.03,0.13
5e3,0.25,0.5,0.03,0.471
1e4,0.25,0.5,0.03,0.759
15e3,0.25,0.5,0.03,0.901
2e4,0.25,0.5,0.03,0.95
1e3,0.30000000000000004,0.5,0.03,0.139
5e3,0.30000000000000004,0.5,0.03,0.517
1e4,0.30000000000000004,0.5,0.03,0.802
15e3,0.30000000000000004,0.5,0.03,0.917
2e4,0.30000000000000004,0.5,0.03,0.974
1e3,0.35,0.5,0.03,0.144
5e3,0.35,0.5,0.03,0.516
1e4,0.35,0.5,0.03,0.79
15e3,0.35,0.5,0.03,0.938
2e4,0.35,0.5,0.03,0.983
1e3,0.4,0.5,0.03,0.149
5e3,0.4,0.5,0.03,0.563
1e4,0.4,0.5,0.03,0.846
15e3,0.4,0.5,0.03,0.953
2e4,0.4,0.5,0.03,0.987
1e3,0.45000000000000007,0.5,0.03,0.158
5e3,0.45000000000000007,0.5,0.03,0.571
1e4,0.45000000000000007,0.5,0.03,0.86
15e3,0.45000000000000007,0.5,0.03,0.957
2e4,0.45000000000000007,0.5,0.03,0.99
1e3,0.5,0.5,0.03,0.142
5e3,0.5,0.5,0.03,0.565
1e4,0.5,0.5,0.03,0.851
15e3,0.5,0.5,0.03,0.967
2e4,0.5,0.5,0.03,0.992
1e3,0.1,0.5,0.04,0.118
5e3,0.1,0.5,0.04,0.41
1e4,0.1,0.5,0.04,0.671
15e3,0.1,0.5,0.04,0.841
2e4,0.1,0.5,0.04,0.894
1e3,0.15000000000000002,0.5,0.04,0.145
5e3,0.15000000000000002,0.5,0.04,0.518
1e4,0.15000000000000002,0.5,0.04,0.835
15e3,0.15000000000000002,0.5,0.04,0.942
2e4,0.15000000000000002,0.5,0.04,0.983
1e3,0.2,0.5,0.04,0.17
5e3,0.2,0.5,0.04,0.644
1e4,0.2,0.5,0.04,0.894
15e3,0.2,0.5,0.04,0.977
2e4,0.2,0.5,0.04,0.999
1e3,0.25,0.5,0.04,0.195
5e3,0.25,0.5,0.04,0.69
1e4,0.25,0.5,0.04,0.943
15e3,0.25,0.5,0.04,0.996
2e4,0.25,0.5,0.04,0.996
1e3,0.30000000000000004,0.5,0.04,0.21
5e3,0.30000000000000004,0.5,0.04,0.745
1e4,0.30000000000000004,0.5,0.04,0.965
15e3,0.30000000000000004,0.5,0.04,0.992
2e4,0.30000000000000004,0.5,0.04,1
1e3,0.35,0.5,0.04,0.243
5e3,0.35,0.5,0.04,0.75
1e4,0.35,0.5,0.04,0.966
15e3,0.35,0.5,0.04,0.996
2e4,0.35,0.5,0.04,0.999
1e3,0.4,0.5,0.04,0.223
5e3,0.4,0.5,0.04,0.779
1e4,0.4,0.5,0.04,0.977
15e3,0.4,0.5,0.04,0.999
2e4,0.4,0.5,0.04,1
1e3,0.45000000000000007,0.5,0.04,0.246
5e3,0.45000000000000007,0.5,0.04,0.797
1e4,0.45000000000000007,0.5,0.04,0.981
15e3,0.45000000000000007,0.5,0.04,1
2e4,0.45000000000000007,0.5,0.04,0.999
1e3,0.5,0.5,0.04,0.246
5e3,0.5,0.5,0.04,0.803
1e4,0.5,0.5,0.04,0.991
15e3,0.5,0.5,0.04,0.999
2e4,0.5,0.5,0.04,1
1e3,0.1,0.5,0.05,0.177
5e3,0.1,0.5,0.05,0.562
1e4,0.1,0.5,0.05,0.868
15e3,0.1,0.5,0.05,0.951
2e4,0.1,0.5,0.05,0.989
1e3,0.15000000000000002,0.5,0.05,0.213
5e3,0.15000000000000002,0.5,0.05,0.73
1e4,0.15000000000000002,0.5,0.05,0.952
15e3,0.15000000000000002,0.5,0.05,0.996
2e4,0.15000000000000002,0.5,0.05,0.998
1e3,0.2,0.5,0.05,0.242
5e3,0.2,0.5,0.05,0.793
1e4,0.2,0.5,0.05,0.981
15e3,0.2,0.5,0.05,1
2e4,0.2,0.5,0.05,0.999
1e3,0.25,0.5,0.05,0.271
5e3,0.25,0.5,0.05,0.878
1e4,0.25,0.5,0.05,0.985
15e3,0.25,0.5,0.05,0.999
2e4,0.25,0.5,0.05,1
1e3,0.30000000000000004,0.5,0.05,0.312
5e3,0.30000000000000004,0.5,0.05,0.901
1e4,0.30000000000000004,0.5,0.05,0.996
15e3,0.30000000000000004,0.5,0.05,1
2e4,0.30000000000000004,0.5,0.05,1
1e3,0.35,0.5,0.05,0.326
5e3,0.35,0.5,0.05,0.914
1e4,0.35,0.5,0.05,0.999
15e3,0.35,0.5,0.05,1
2e4,0.35,0.5,0.05,1
1e3,0.4,0.5,0.05,0.346
5e3,0.4,0.5,0.05,0.92
1e4,0.4,0.5,0.05,0.998
15e3,0.4,0.5,0.05,1
2e4,0.4,0.5,0.05,1
1e3,0.45000000000000007,0.5,0.05,0.343
5e3,0.45000000000000007,0.5,0.05,0.937
1e4,0.45000000000000007,0.5,0.05,1
15e3,0.45000000000000007,0.5,0.05,1
2e4,0.45000000000000007,0.5,0.05,1
1e3,0.5,0.5,0.05,0.335
5e3,0.5,0.5,0.05,0.95
1e4,0.5,0.5,0.05,0.999
15e3,0.5,0.5,0.05,1
2e4,0.5,0.5,0.05,1
1e3,0.1,0.5,0.060000000000000005,0.2
5e3,0.1,0.5,0.060000000000000005,0.73
1e4,0.1,0.5,0.060000000000000005,0.959
15e3,0.1,0.5,0.060000000000000005,0.989
2e4,0.1,0.5,0.060000000000000005,1
1e3,0.15000000000000002,0.5,0.060000000000000005,0.28
5e3,0.15000000000000002,0.5,0.060000000000000005,0.86
1e4,0.15000000000000002,0.5,0.060000000000000005,0.987
15e3,0.15000000000000002,0.5,0.060000000000000005,1
2e4,0.15000000000000002,0.5,0.060000000000000005,1
1e3,0.2,0.5,0.060000000000000005,0.33
5e3,0.2,0.5,0.060000000000000005,0.926
1e4,0.2,0.5,0.060000000000000005,0.996
15e3,0.2,0.5,0.060000000000000005,1
2e4,0.2,0.5,0.060000000000000005,1
1e3,0.25,0.5,0.060000000000000005,0.379
5e3,0.25,0.5,0.060000000000000005,0.948
1e4,0.25,0.5,0.060000000000000005,0.998
15e3,0.25,0.5,0.060000000000000005,1
2e4,0.25,0.5,0.060000000000000005,1
1e3,0.30000000000000004,0.5,0.060000000000000005,0.438
5e3,0.30000000000000004,0.5,0.060000000000000005,0.977
1e4,0.30000000000000004,0.5,0.060000000000000005,1
15e3,0.30000000000000004,0.5,0.060000000000000005,1
2e4,0.30000000000000004,0.5,0.060000000000000005,1
1e3,0.35,0.5,0.060000000000000005,0.438
5e3,0.35,0.5,0.060000000000000005,0.982
1e4,0.35,0.5,0.060000000000000005,1
15e3,0.35,0.5,0.060000000000000005,1
2e4,0.35,0.5,0.060000000000000005,1
1e3,0.4,0.5,0.060000000000000005,0.487
5e3,0.4,0.5,0.060000000000000005,0.986
1e4,0.4,0.5,0.060000000000000005,1
15e3,0.4,0.5,0.060000000000000005,1
2e4,0.4,0.5,0.060000000000000005,1
1e3,0.45000000000000007,0.5,0.060000000000000005,0.434
5e3,0.45000000000000007,0.5,0.060000000000000005,0.993
1e4,0.45000000000000007,0.5,0.060000000000000005,1
15e3,0.45000000000000007,0.5,0.060000000000000005,1
2e4,0.45000000000000007,0.5,0.060000000000000005,1
1e3,0.5,0.5,0.060000000000000005,0.514
5e3,0.5,0.5,0.060000000000000005,0.989
1e4,0.5,0.5,0.060000000000000005,1
15e3,0.5,0.5,0.060000000000000005,1
2e4,0.5,0.5,0.060000000000000005,1
1e3,0.1,0.5,0.06999999999999999,0.246
5e3,0.1,0.5,0.06999999999999999,0.85
1e4,0.1,0.5,0.06999999999999999,0.989
15e3,0.1,0.5,0.06999999999999999,0.998
2e4,0.1,0.5,0.06999999999999999,1
1e3,0.15000000000000002,0.5,0.06999999999999999,0.347
5e3,0.15000000000000002,0.5,0.06999999999999999,0.946
1e4,0.15000000000000002,0.5,0.06999999999999999,0.998
15e3,0.15000000000000002,0.5,0.06999999999999999,1
2e4,0.15000000000000002,0.5,0.06999999999999999,1
1e3,0.2,0.5,0.06999999999999999,0.446
5e3,0.2,0.5,0.06999999999999999,0.972
1e4,0.2,0.5,0.06999999999999999,1
15e3,0.2,0.5,0.06999999999999999,1
2e4,0.2,0.5,0.06999999999999999,1
1e3,0.25,0.5,0.06999999999999999,0.469
5e3,0.25,0.5,0.06999999999999999,0.988
1e4,0.25,0.5,0.06999999999999999,1
15e3,0.25,0.5,0.06999999999999999,1
2e4,0.25,0.5,0.06999999999999999,1
1e3,0.30000000000000004,0.5,0.06999999999999999,0.548
5e3,0.30000000000000004,0.5,0.06999999999999999,0.997
1e4,0.30000000000000004,0.5,0.06999999999999999,1
15e3,0.30000000000000004,0.5,0.06999999999999999,1
2e4,0.30000000000000004,0.5,0.06999999999999999,1
1e3,0.35,0.5,0.06999999999999999,0.569
5e3,0.35,0.5,0.06999999999999999,0.998
1e4,0.35,0.5,0.06999999999999999,1
15e3,0.35,0.5,0.06999999999999999,1
2e4,0.35,0.5,0.06999999999999999,1
1e3,0.4,0.5,0.06999999999999999,0.615
5e3,0.4,0.5,0.06999999999999999,0.999
1e4,0.4,0.5,0.06999999999999999,1
15e3,0.4,0.5,0.06999999999999999,1
2e4,0.4,0.5,0.06999999999999999,1
1e3,0.45000000000000007,0.5,0.06999999999999999,0.578
5e3,0.45000000000000007,0.5,0.06999999999999999,0.997
1e4,0.45000000000000007,0.5,0.06999999999999999,1
15e3,0.45000000000000007,0.5,0.06999999999999999,1
2e4,0.45000000000000007,0.5,0.06999999999999999,1
1e3,0.5,0.5,0.06999999999999999,0.6
5e3,0.5,0.5,0.06999999999999999,0.999
1e4,0.5,0.5,0.06999999999999999,1
15e3,0.5,0.5,0.06999999999999999,1
2e4,0.5,0.5,0.06999999999999999,1
1e3,0.1,0.5,0.08,0.34
5e3,0.1,0.5,0.08,0.936
1e4,0.1,0.5,0.08,0.998
15e3,0.1,0.5,0.08,1
2e4,0.1,0.5,0.08,1
1e3,0.15000000000000002,0.5,0.08,0.433
5e3,0.15000000000000002,0.5,0.08,0.984
1e4,0.15000000000000002,0.5,0.08,1
15e3,0.15000000000000002,0.5,0.08,1
2e4,0.15000000000000002,0.5,0.08,1
1e3,0.2,0.5,0.08,0.545
5e3,0.2,0.5,0.08,0.996
1e4,0.2,0.5,0.08,1
15e3,0.2,0.5,0.08,1
2e4,0.2,0.5,0.08,1
1e3,0.25,0.5,0.08,0.618
5e3,0.25,0.5,0.08,1
1e4,0.25,0.5,0.08,1
15e3,0.25,0.5,0.08,1
2e4,0.25,0.5,0.08,1
1e3,0.30000000000000004,0.5,0.08,0.636
5e3,0.30000000000000004,0.5,0.08,0.999
1e4,0.30000000000000004,0.5,0.08,1
15e3,0.30000000000000004,0.5,0.08,1
2e4,0.30000000000000004,0.5,0.08,1
1e3,0.35,0.5,0.08,0.672
5e3,0.35,0.5,0.08,1
1e4,0.35,0.5,0.08,1
15e3,0.35,0.5,0.08,1
2e4,0.35,0.5,0.08,1
1e3,0.4,0.5,0.08,0.685
5e3,0.4,0.5,0.08,1
1e4,0.4,0.5,0.08,1
15e3,0.4,0.5,0.08,1
2e4,0.4,0.5,0.08,1
1e3,0.45000000000000007,0.5,0.08,0.731
5e3,0.45000000000000007,0.5,0.08,1
1e4,0.45000000000000007,0.5,0.08,1
15e3,0.45000000000000007,0.5,0.08,1
2e4,0.45000000000000007,0.5,0.08,1
1e3,0.5,0.5,0.08,0.741
5e3,0.5,0.5,0.08,1
1e4,0.5,0.5,0.08,1
15e3,0.5,0.5,0.08,1
2e4,0.5,0.5,0.08,1
