state,class,candidate,party,incumbent,win_probability,voteshare,p10_voteshare,p90_voteshare,race_type,district,won
AZ,1,Kyrsten Sinema,D,false,0.6716,50.26,46.55,53.98,senate,NA,TRUE
CA,1,Dianne Feinstein,D,true,0.955,57.59,51.83,63.26,senate,NA,TRUE
CT,1,Christopher Murphy,D,true,0.9983,60.15,55.78,64.54,senate,NA,TRUE
DE,1,Thomas R. Carper,D,true,0.9994,62.3,57.48,67.11,senate,NA,TRUE
FL,1,Bill Nelson,D,true,0.7316,51.73,48.12,55.36,senate,NA,NA
HI,1,Mazie K. Hirono,D,true,1,76.79,71.43,82.17,senate,NA,TRUE
IN,1,Joe Donnelly,D,true,0.6172,49.67,45.43,53.86,senate,NA,FALSE
MA,1,Elizabeth Warren,D,true,0.9989,61.87,56.86,66.87,senate,NA,TRUE
MD,1,Benjamin L. Cardin,D,true,1,65.34,60.41,70.19,senate,NA,TRUE
ME,1,Angus S. King Jr.,I,true,0.9943,56.89,51.08,62.61,senate,NA,TRUE
MI,1,Debbie Stabenow,D,true,0.9844,56.09,51.84,60.24,senate,NA,TRUE
MN,1,Amy Klobuchar,D,true,0.9986,59.73,55.51,64,senate,NA,TRUE
MN,2,Tina Smith,D,false,0.9388,53.51,49.21,57.72,senate,NA,TRUE
MO,1,Josh Hawley,R,false,0.5277,48.87,44.86,52.89,senate,NA,TRUE
MS,1,Roger F. Wicker,R,true,0.9927,57.88,53.38,62.36,senate,NA,TRUE
MS,2,Cindy Hyde-Smith,R,false,0.7068,32.02,26.26,37.81,senate,NA,NA
MT,1,Jon Tester,D,true,0.7594,51.04,46.72,55.35,senate,NA,TRUE
ND,1,Kevin Cramer,R,false,0.7666,52.6,47.95,57.17,senate,NA,TRUE
NE,1,Deb Fischer,R,true,0.9895,57.2,52.42,61.96,senate,NA,TRUE
NJ,1,Robert Menendez,D,true,0.938,53.73,49.22,58.25,senate,NA,TRUE
NM,1,Martin Heinrich,D,true,0.9952,52.56,47.23,57.8,senate,NA,TRUE
NV,1,Jacky Rosen,D,false,0.6392,49.8,45.84,53.72,senate,NA,TRUE
NY,1,Kirsten E. Gillibrand,D,true,0.9998,64.24,59.79,68.74,senate,NA,TRUE
OH,1,Sherrod Brown,D,true,0.982,56.58,52.73,60.45,senate,NA,TRUE
PA,1,Robert P. Casey Jr.,D,true,0.9871,56.37,52.42,60.32,senate,NA,TRUE
RI,1,Sheldon Whitehouse,D,true,0.9995,64.39,59.38,69.45,senate,NA,TRUE
TN,1,Marsha Blackburn,R,false,0.7949,50.92,46.8,55.01,senate,NA,TRUE
TX,1,Ted Cruz,R,true,0.8118,51.85,47.92,55.75,senate,NA,TRUE
UT,1,Mitt Romney,R,false,0.9994,58.95,53.08,64.62,senate,NA,TRUE
VA,1,Tim Kaine,D,true,0.9938,58.09,53.72,62.37,senate,NA,TRUE
VT,1,Bernard Sanders,I,true,1,67.9,63.09,72.65,senate,NA,TRUE
WA,1,Maria Cantwell,D,true,0.9973,61.53,56.81,66.23,senate,NA,TRUE
WI,1,Tammy Baldwin,D,true,0.9859,57,53.09,60.89,senate,NA,TRUE
WV,1,Joe Manchin III,D,true,0.8731,52.32,48.14,56.44,senate,NA,TRUE
WY,1,John Barrasso,R,true,0.9998,65.11,59.97,70.16,senate,NA,TRUE
AK,NA,Don Young,R,true,0.7447,52.28,47.73,56.84,house,1,TRUE
AL,NA,Bradley Byrne,R,true,0.9998,65.8,61.38,70.27,house,1,TRUE
AL,NA,Martha Roby,R,true,0.9877,58.93,54.17,63.76,house,2,TRUE
AL,NA,Mike Rogers,R,true,0.9988,62.13,57.69,66.63,house,3,TRUE
AL,NA,Robert B. Aderholt,R,true,1,76.91,72.31,81.55,house,4,TRUE
AL,NA,Mo Brooks,R,true,0.9993,63.45,58.84,68.06,house,5,TRUE
AL,NA,Gary Palmer,R,true,0.9999,67.61,63.16,72.06,house,6,TRUE
AL,NA,Terri A. Sewell,D,true,1,100,100,100,house,7,TRUE
AR,NA,Rick Crawford,R,true,0.9997,62.69,57.92,67.42,house,1,TRUE
AR,NA,French Hill,R,true,0.8997,52.51,48.43,56.62,house,2,TRUE
AR,NA,Steve Womack,R,true,0.9995,61.47,56.89,66.05,house,3,TRUE
AR,NA,Bruce Westerman,R,true,0.9997,62.04,57.55,66.53,house,4,TRUE
AZ,NA,Tom O'Halleran,D,true,0.9076,54.27,50.16,58.35,house,1,TRUE
AZ,NA,Ann Kirkpatrick,D,false,0.9604,55.27,51.5,59,house,2,TRUE
AZ,NA,Raul Grijalva,D,true,0.9999,69.59,64.68,74.53,house,3,TRUE
AZ,NA,Paul A. Gosar,R,true,0.9998,62.58,57.79,67.37,house,4,TRUE
AZ,NA,Andy Biggs,R,true,0.9993,63.81,59.1,68.53,house,5,TRUE
AZ,NA,David Schweikert,R,true,0.9498,55.78,51.36,60.26,house,6,TRUE
AZ,NA,Ruben Gallego,D,true,0.9999,86.75,80.56,92.37,house,7,TRUE
AZ,NA,Debbie Lesko,R,true,0.867,53.47,49.44,57.5,house,8,TRUE
AZ,NA,Greg Stanton,D,false,0.9971,61.01,56.4,65.57,house,9,TRUE
CA,NA,Doug LaMalfa,R,true,0.9081,55.28,50.19,60.32,house,1,TRUE
CA,NA,Jared Huffman,D,true,1,81.14,77.13,85.17,house,2,TRUE
CA,NA,John Garamendi,D,true,0.9998,65.39,60.83,69.95,house,3,TRUE
CA,NA,Tom McClintock,R,true,0.9019,54.08,50.04,58.13,house,4,TRUE
CA,NA,Mike Thompson,D,true,0.9998,80.64,73.87,87.04,house,5,TRUE
CA,NA,Doris O. Matsui,D,true,1,78.4,73.67,83.18,house,6,TRUE
CA,NA,Ami Bera,D,true,0.9948,58.63,54.66,62.62,house,7,TRUE
CA,NA,Paul Cook,R,true,0.9642,60.09,52.94,67.18,house,8,TRUE
