state,candidate,race_type,won
AZ,Kyrsten Sinema,senate,TRUE
CA,Dianne Feinstein,senate,TRUE
CT,Christopher Murphy,senate,TRUE
DE,Thomas R. Carper,senate,TRUE
FL,Bill Nelson,senate,FALSE
HI,Mazie K. Hirono,senate,TRUE
IN,Joe Donnelly,senate,FALSE
MA,Elizabeth Warren,senate,TRUE
MD,Benjamin L. Cardin,senate,TRUE
ME,Angus S. King Jr.,senate,TRUE
MI,Debbie Stabenow,senate,TRUE
MN,Amy Klobuchar,senate,TRUE
MN,Tina Smith,senate,TRUE
MO,Josh Hawley,senate,TRUE
MS,Roger F. Wicker,senate,TRUE
MS,Cindy Hyde-Smith,senate,
MT,Jon Tester,senate,TRUE
ND,Kevin Cramer,senate,TRUE
NE,Deb Fischer,senate,TRUE
NJ,Robert Menendez,senate,TRUE
NM,Martin Heinrich,senate,TRUE
NV,Jacky Rosen,senate,TRUE
NY,Kirsten E. Gillibrand,senate,TRUE
OH,Sherrod Brown,senate,TRUE
PA,Robert P. Casey Jr.,senate,TRUE
RI,Sheldon Whitehouse,senate,TRUE
TN,Marsha Blackburn,senate,TRUE
TX,Ted Cruz,senate,TRUE
UT,Mitt Romney,senate,TRUE
VA,Tim Kaine,senate,TRUE
VT,Bernard Sanders,senate,TRUE
WA,Maria Cantwell,senate,TRUE
WI,Tammy Baldwin,senate,TRUE
WV,Joe Manchin III,senate,TRUE
WY,John Barrasso,senate,TRUE
AK,Don Young,house,TRUE
AL,Bradley Byrne,house,TRUE
AL,Martha Roby,house,TRUE
AL,Mike Rogers,house,TRUE
AL,Robert B. Aderholt,house,TRUE
AL,Mo Brooks,house,TRUE
AL,Gary Palmer,house,TRUE
AL,Terri A. Sewell,house,TRUE
AR,Rick Crawford,house,TRUE
AR,French Hill,house,TRUE
AR,Steve Womack,house,TRUE
AR,Bruce Westerman,house,TRUE
AZ,Tom O'Halleran,house,TRUE
AZ,Ann Kirkpatrick,house,TRUE
AZ,Raul Grijalva,house,TRUE
AZ,Paul A. Gosar,house,TRUE
AZ,Andy Biggs,house,TRUE
AZ,David Schweikert,house,TRUE
AZ,Ruben Gallego,house,TRUE
AZ,Debbie Lesko,house,TRUE
AZ,Greg Stanton,house,TRUE
CA,Doug LaMalfa,house,TRUE
CA,Jared Huffman,house,TRUE
CA,John Garamendi,house,TRUE
CA,Tom McClintock,house,TRUE
CA,Mike Thompson,house,TRUE
CA,Doris O. Matsui,house,TRUE
CA,Ami Bera,house,TRUE
CA,Paul Cook,house,TRUE
CA,Jerry McNerney,house,TRUE
CA,Josh Harder,house,TRUE
CA,Mark DeSaulnier,house,TRUE
CA,Nancy Pelosi,house,TRUE
CA,Barbara Lee,house,TRUE
CA,Jackie Speier,house,TRUE
CA,Eric Swalwell,house,TRUE
CA,Jim Costa,house,TRUE
CA,Ro Khanna,house,TRUE
CA,Anna G. Eshoo,house,TRUE
CA,Zoe Lofgren,house,TRUE
CA,Jimmy Panetta,house,TRUE
CA,David Valadao,house,TRUE
CA,Devin Nunes,house,TRUE
CA,Kevin McCarthy,house,TRUE
CA,Salud Carbajal,house,TRUE
CA,Katie Hill,house,TRUE
CA,Julia Brownley,house,TRUE
CA,Judy Chu,house,TRUE
CA,Adam Schiff,house,TRUE
CA,Tony Cardenas,house,TRUE
CA,Brad Sherman,house,TRUE
CA,Pete Aguilar,house,TRUE
CA,Grace Napolitano,house,TRUE
CA,Ted Lieu,house,TRUE
CA,Jimmy Gomez,house,TRUE
CA,Norma Torres,house,TRUE
CA,Raul Ruiz,house,TRUE
CA,Karen Bass,house,TRUE
CA,Linda Sanchez,house,TRUE
CA,Gil Cisneros,house,TRUE
CA,Lucille Roybal-Allard,house,TRUE
CA,Mark Takano,house,TRUE
CA,Ken Calvert,house,TRUE
CA,Maxine Waters,house,TRUE
CA,Nanette Diaz Barragan,house,TRUE
CA,Katie Porter,house,TRUE
CA,J. Luis Correa,house,TRUE
CA,Alan Lowenthal,house,TRUE
CA,Harley Rouda,house,TRUE
CA,Mike Levin,house,TRUE
CA,Duncan D. Hunter,house,TRUE
CA,Juan Vargas,house,TRUE
CA,Scott Peters,house,TRUE
CA,Susan Davis,house,TRUE
CO,Diana DeGette,house,TRUE
CO,Joe Neguse,house,TRUE
CO,Scott Tipton,house,TRUE
CO,Ken Buck,house,TRUE
CO,Doug Lamborn,house,TRUE
CO,Jason Crow,house,TRUE
CO,Ed Perlmutter,house,TRUE
CT,John B. Larson,house,TRUE
CT,Joe Courtney,house,TRUE
CT,Rosa L. DeLauro,house,TRUE
CT,Jim Himes,house,TRUE
CT,Jahana Hayes,house,TRUE
DE,Lisa Blunt Rochester,house,TRUE
FL,Matt Gaetz,house,TRUE
FL,Neal Dunn,house,TRUE
FL,Ted Yoho,house,TRUE
FL,John Rutherford,house,TRUE
FL,Al Lawson,house,TRUE
FL,Michael Waltz,house,TRUE
FL,Stephanie Murphy,house,TRUE
FL,Bill Posey,house,TRUE
FL,Darren Soto,house,TRUE
FL,Val Demings,house,TRUE
FL,Daniel Webster,house,TRUE
FL,Gus M. Bilirakis,house,TRUE
FL,Charlie Crist,house,TRUE
FL,Kathy Castor,house,TRUE
FL,Ross Spano,house,TRUE
FL,Vern Buchanan,house,TRUE
FL,Greg Steube,house,TRUE
FL,Brian Mast,house,TRUE
FL,Francis Rooney,house,TRUE
FL,Alcee L. Hastings,house,TRUE
FL,Lois Frankel,house,TRUE
FL,Ted Deutch,house,TRUE
FL,Debbie Wasserman Schultz,house,TRUE
FL,Frederica Wilson,house,TRUE
FL,Mario Diaz-Balart,house,TRUE
FL,Debbie Mucarsel-Powell,house,TRUE
FL,Donna Shalala,house,TRUE
GA,Buddy Carter,house,TRUE
GA,Sanford D. Bishop Jr.,house,TRUE
GA,A. Drew Ferguson,house,TRUE
GA,Hank Johnson,house,TRUE
GA,John Lewis,house,TRUE
GA,Karen C. Handel,house,FALSE
GA,Rob Woodall,house,
GA,Austin Scott,house,TRUE
GA,Doug Collins,house,TRUE
GA,Jody Hice,house,TRUE
GA,Barry Loudermilk,house,TRUE
GA,Rick Allen,house,TRUE
GA,David Scott,house,TRUE
GA,Tom Graves,house,TRUE
HI,Ed Case,house,TRUE
HI,Tulsi Gabbard,house,TRUE
IA,Abby Finkenauer,house,TRUE
IA,David Loebsack,house,TRUE
IA,Cindy Axne,house,TRUE
IA,Steve King,house,TRUE
ID,Russ Fulcher,house,TRUE
ID,Mike Simpson,house,TRUE
IL,Bobby L. Rush,house,TRUE
IL,Robin Kelly,house,TRUE
IL,Daniel Lipinski,house,TRUE
IL,"Jesus ""Chuy"" Garcia",house,TRUE
IL,Mike Quigley,house,TRUE
IL,Sean Casten,house,TRUE
IL,Danny K. Davis,house,TRUE
IL,Raja Krishnamoorthi,house,TRUE
IL,Jan Schakowsky,house,TRUE
IL,Bradley Schneider,house,TRUE
IL,Bill Foster,house,TRUE
IL,Mike Bost,house,TRUE
IL,Rodney Davis,house,TRUE
IL,Lauren Underwood,house,TRUE
IL,John Shimkus,house,TRUE
IL,Adam Kinzinger,house,TRUE
IL,Cheri Bustos,house,TRUE
IL,Darin LaHood,house,TRUE
IN,Peter Visclosky,house,TRUE
