forecastdate,state,class,special,candidate,party,incumbent,model,win_probability,voteshare,p10_voteshare,p90_voteshare
2018-08-01,AZ,1,false,Kyrsten Sinema,D,false,classic,0.738,51.1,45.75,56.5
2018-08-01,AZ,1,false,Martha McSally,R,false,classic,0.262,46.08,40.69,51.41
2018-08-01,AZ,1,false,Angela Green,G,false,classic,0.0,2.82,0.74,5.47
2018-08-01,CA,1,false,Dianne Feinstein,D,true,classic,0.9994,63.65,58.26,69.11
2018-08-01,CA,1,false,Kevin de Leon,D,false,classic,0.0006,36.35,30.89,41.74
2018-08-01,CT,1,false,Christopher Murphy,D,true,classic,0.9989,64.08,58.13,69.95
2018-08-01,CT,1,false,Matthew Corey,R,false,classic,0.0011,32.45,26.56,38.33
2018-08-01,CT,1,false,Others,,false,classic,0.0,3.48,1.01,6.58
2018-08-01,DE,1,false,Thomas R. Carper,D,true,classic,0.9887,60.68,54.29,67.13
2018-08-01,DE,1,false,Rob Arlett,R,false,classic,0.0113,36.69,30.17,43.06
2018-08-01,DE,1,false,Others,,false,classic,0.0,2.63,0.67,5.17
2018-08-01,FL,1,false,Bill Nelson,D,true,classic,0.6156,51.1,46.23,55.99
2018-08-01,FL,1,false,Rick Scott,R,false,classic,0.3844,48.9,44.01,53.77
2018-08-01,HI,1,false,Mazie K. Hirono,D,true,classic,1.0,76.1,70.05,82.11
2018-08-01,HI,1,false,Ron Curtis,R,false,classic,0.0,23.9,17.89,29.95
2018-08-01,IN,1,false,Joe Donnelly,D,true,classic,0.7716,52.05,46.49,57.57
2018-08-01,IN,1,false,Mike Braun,R,false,classic,0.2284,45.91,40.34,51.46
2018-08-01,IN,1,false,Lucy M. Brenton,L,false,classic,0.0,2.05,0.47,4.08
2018-08-01,MA,1,false,Elizabeth Warren,D,true,classic,0.9991,64.17,58.17,70.2
2018-08-01,MA,1,false,Geoff Diehl,R,false,classic,0.0009,32.79,26.73,38.72
2018-08-01,MD,1,false,Benjamin L. Cardin,D,true,classic,0.9996,67.89,62.03,73.69
2018-08-01,MD,1,false,Tony Campbell,R,false,classic,0.0004,28.32,22.47,34.15
2018-08-01,MD,1,false,Others,,false,classic,0.0,3.78,1.16,7.07
2018-08-01,ME,1,false,Angus S. King Jr.,I,true,classic,0.9971,63.08,56.7,69.35
2018-08-01,ME,1,false,Eric L. Brakey,R,false,classic,0.0029,33.37,27.04,39.69
2018-08-01,ME,1,false,Zak Ringelstein,D,false,classic,0.0,3.55,1.06,6.67
2018-08-01,MI,1,false,Debbie Stabenow,D,true,classic,0.9857,57.25,52.19,62.24
2018-08-01,MI,1,false,John James,R,false,classic,0.0143,39.87,34.81,44.89
2018-08-01,MI,1,false,Others,,false,classic,0.0,2.88,0.77,5.56
2018-08-01,MN,1,false,Amy Klobuchar,D,true,classic,0.9983,61.31,56.23,66.37
2018-08-01,MN,1,false,Jim Newberger,R,false,classic,0.0017,36.11,31.02,41.14
2018-08-01,MN,1,false,Others,,false,classic,0.0,2.58,0.65,5.05
2018-08-01,MN,2,true,Tina Smith,D,false,classic,0.9618,55.21,50.01,60.44
2018-08-01,MN,2,true,Karin Housley,R,false,classic,0.0382,41.17,35.95,46.34
2018-08-01,MN,2,true,Others,,false,classic,0.0,3.61,1.08,6.78
2018-08-01,MO,1,false,Claire McCaskill,D,true,classic,0.6931,50.49,45.54,55.42
2018-08-01,MO,1,false,Josh Hawley,R,false,classic,0.3069,46.88,41.92,51.77
2018-08-01,MO,1,false,Others,,false,classic,0.0,2.64,0.66,5.16
2018-08-01,MS,1,false,Roger F. Wicker,R,true,classic,0.9867,57.86,52.66,63.02
2018-08-01,MS,1,false,David Baria,D,false,classic,0.0133,39.73,34.52,44.94
2018-08-01,MS,1,false,Others,,false,classic,0.0,2.42,0.59,4.78
2018-08-01,MS,2,true,Cindy Hyde-Smith,R,false,classic,0.9009,42.84,35.55,50.5
2018-08-01,MS,2,true,Mike Espy,D,false,classic,0.0955,38.81,30.34,47.33
2018-08-01,MS,2,true,Chris McDaniel,R,false,classic,0.0036,16.39,10.14,22.69
2018-08-01,MS,2,true,Tobey Bartee,D,false,classic,0.0,1.96,0.43,3.94
2018-08-01,MT,1,false,Jon Tester,D,true,classic,0.8883,53.54,48.34,58.69
2018-08-01,MT,1,false,Matt Rosendale,R,false,classic,0.1117,44.03,38.84,49.19
2018-08-01,MT,1,false,Rick Breckenridge,L,false,classic,0.0,2.42,0.59,4.82
2018-08-01,ND,1,false,Heidi Heitkamp,D,true,classic,0.5998,50.98,45.64,56.35
