score_away,score_home,team_away,team_home,win_prob_away,win_prob_home
97,110,Nets,Celtics,23,77
106,112,Nuggets,Timberwolves,39,61
119,87,Pistons,Bulls,56,44
123,137,Grizzlies,Thunder,9,91
95,130,Bucks,76ers,25,75
110,98,Knicks,Cavaliers,13,87
98,122,Spurs,Pelicans,39,61
109,116,Raptors,Heat,64,36
92,101,Wizards,Magic,55,45
83,96,Rockets,Kings,86,14
115,100,Lakers,Clippers,23,77
93,102,Jazz,Trail Blazers,41,59
119,93,Hornets,Pacers,22,78
121,113,76ers,Hawks,78,22
101,113,Celtics,Wizards,51,49
124,97,Suns,Mavericks,18,82
79,119,Warriors,Jazz,23,77
105,99,Rockets,Lakers,76,24
108,98,Raptors,Pistons,66,34
105,114,Bulls,Nets,29,71
123,109,Cavaliers,Knicks,66,34
115,93,Thunder,Heat,52,48
94,113,Grizzlies,Timberwolves,10,90
86,102,Magic,Bucks,13,87
85,98,Kings,Spurs,11,89
82,88,Trail Blazers,Nuggets,36,64
113,100,Pelicans,Clippers,39,61
112,106,Hawks,Celtics,10,90
97,109,Mavericks,76ers,12,88
123,117,Pacers,Hornets,51,49
117,130,Pistons,Grizzlies,61,39
101,112,Magic,Raptors,7,93
112,97,Jazz,Lakers,63,37
117,100,Warriors,Suns,76,24
134,115,Nuggets,Clippers,34,66
115,102,Bucks,Knicks,62,38
124,96,Nets,Bulls,46,54
126,120,Pelicans,Warriors,27,73
108,102,Thunder,Rockets,16,84
105,116,Trail Blazers,Spurs,43,57
103,97,Hawks,Wizards,19,81
137,100,Hornets,Magic,49,51
130,132,Cavaliers,76ers,22,78
106,113,Mavericks,Pistons,26,74
104,111,Bulls,Celtics,12,88
73,92,Pacers,Raptors,21,79
98,122,Heat,Knicks,62,38
94,93,Kings,Grizzlies,37,63
122,103,Pelicans,Suns,76,24
113,96,Timberwolves,Lakers,35,65
106,126,Warriors,Pacers,42,58
119,111,Nets,Bucks,17,83
94,96,Trail Blazers,Rockets,19,81
115,119,Wizards,Cavaliers,27,73
95,117,Clippers,Jazz,23,77
96,100,Timberwolves,Nuggets,29,71
100,105,Mavericks,Magic,45,55
115,108,76ers,Pistons,51,49
115,86,Heat,Hawks,64,36
78,96,Celtics,Raptors,29,71
95,123,Grizzlies,Pelicans,13,87
112,122,Spurs,Lakers,53,47
95,121,Nets,76ers,11,89
106,112,Raptors,Cavaliers,52,48
98,101,Hawks,Heat,16,84
97,73,Magic,Knicks,30,70
102,106,Celtics,Bucks,50,50
114,120,Hornets,Bulls,51,49
111,107,Warriors,Thunder,35,65
104,120,Wizards,Rockets,10,90
109,115,Trail Blazers,Mavericks,69,31
104,107,Pacers,Nuggets,34,66
110,117,Lakers,Jazz,15,85
94,97,Kings,Suns,49,51
110,113,Spurs,Clippers,39,61
119,102,76ers,Hornets,66,34
83,100,Rockets,Spurs,68,32
111,104,Pacers,Clippers,34,66
94,113,Wizards,Bulls,58,42
87,98,Mavericks,Cavaliers,18,82
108,96,Pistons,Nets,53,47
109,104,Thunder,Pelicans,43,57
88,94,Magic,Hawks,37,63
121,97,Jazz,Timberwolves,47,53
125,128,Bucks,Nuggets,28,72
107,117,Suns,Warriors,8,92
98,113,Grizzlies,Trail Blazers,8,92
84,83,Kings,Lakers,14,86
93,107,Hornets,Wizards,31,69
115,109,Pistons,Knicks,49,51
99,110,Raptors,Celtics,50,50
110,109,Nets,Heat,19,81
112,96,Warriors,Kings,74,26
90,82,Bulls,Magic,28,72
101,91,76ers,Hawks,77,23
126,125,Nuggets,Thunder,33,67
102,107,Pelicans,Cavaliers,37,63
103,104,Suns,Rockets,2,98
93,92,Timberwolves,Mavericks,58,42
97,107,Grizzlies,Jazz,7,93
96,105,Clippers,Trail Blazers,32,68
124,122,Bucks,Lakers,32,68
92,103,Wizards,Pistons,45,55
92,103,Bulls,Heat,15,85
99,103,Thunder,Spurs,42,58
106,103,Pacers,Kings,69,31
116,107,Bucks,Warriors,22,78
111,104,Nets,Magic,36,64
118,105,Cavaliers,Hornets,36,64
101,118,Knicks,76ers,13,87
114,126,Hawks,Timberwolves,12,88
103,108,Trail Blazers,Grizzlies,76,24
97,94,Celtics,Jazz,27,73
111,99,Clippers,Suns,75,25
93,103,Mavericks,Lakers,22,78
106,116,Spurs,Wizards,45,55
110,114,Nuggets,Raptors,16,84
86,118,Bulls,Rockets,3,97
79,98,Cavaliers,Heat,43,57
107,103,Trail Blazers,Pelicans,47,53
103,97,Mavericks,Kings,44,56
92,81,Pacers,Warriors,24,76
98,105,Bucks,Clippers,27,73
104,123,Nuggets,76ers,28,72
106,112,Lakers,Pistons,42,58
128,137,Knicks,Hornets,20,80
101,93,Grizzlies,Timberwolves,10,90
102,94,Celtics,Suns,76,24
121,114,Cavaliers,Nets,63,37
103,106,Spurs,Bucks,48,52
107,113,Heat,Pacers,32,68
104,93,Celtics,Kings,70,30
117,106,Clippers,Raptors,20,80
101,97,Knicks,Wizards,19,81
108,105,Trail Blazers,Thunder,36,64
99,118,Hawks,Rockets,4,96
110,91,Jazz,Warriors,30,70
108,120,Timberwolves,76ers,28,72
95,117,Bulls,Pistons,18,82
99,105,Suns,Magic,20,80
100,93,Lakers,Grizzlies,67,33
91,114,Pelicans,Rockets,13,87
102,98,Hornets,Mavericks,46,54
108,100,Nuggets,Wizards,37,63
104,109,Clippers,Pacers,41,59
112,116,Nets,Raptors,7,93
108,104,Timberwolves,Knicks,65,35
95,120,Suns,Cavaliers,9,91
99,105,Heat,Thunder,24,76
118,105,Bucks,Bulls,58,42
120,124,Jazz,Spurs,35,65
105,100,Celtics,Trail Blazers,27,73
94,106,Hawks,Warriors,6,94
79,140,Grizzlies,Hornets,18,82
118,98,76ers,Magic,63,37
96,100,Pistons,Rockets,7,93
125,128,Lakers,Pelicans,35,65
119,112,Jazz,Mavericks,65,35
90,105,Hawks,Kings,36,64
105,119,Grizzlies,76ers,10,90
129,132,Raptors,Cavaliers,54,46
111,105,Hornets,Nets,50,50
98,119,Knicks,Heat,22,78
135,102,Nuggets,Bulls,59,41
92,96,Pacers,Pelicans,39,61
127,120,Clippers,Bucks,38,62
90,98,Wizards,Spurs,32,68
93,86,Raptors,Magic,80,20
105,115,Mavericks,Pelicans,20,80
109,123,Clippers,Timberwolves,34,66
99,100,Thunder,Celtics,44,56
99,94,Hawks,Jazz,6,94
115,88,Pistons,Suns,51,49
115,111,Rockets,Trail Blazers,58,42
94,108,Hornets,76ers,22,78
100,110,Lakers,Pacers,33,67
117,124,Bucks,Cavaliers,33,67
92,110,Bulls,Knicks,34,66
141,149,Nuggets,Heat,42,58
115,118,Grizzlies,Nets,29,71
75,89,Warriors,Spurs,51,49
106,90,Pistons,Kings,46,54
132,125,Thunder,Raptors,21,79
89,108,Celtics,Pelicans,50,50
129,120,Rockets,Timberwolves,66,34
122,109,Trail Blazers,Clippers,38,62
117,122,Hawks,Bucks,16,84
107,101,Rockets,Pelicans,70,30
102,109,Pacers,Wizards,36,64
101,124,Hornets,Knicks,54,46
106,114,Mavericks,Nets,46,54
114,109,Cavaliers,Bulls,57,43
94,101,Nuggets,Grizzlies,70,30
101,117,Timberwolves,Spurs,40,60
97,103,Kings,Jazz,6,94
87,100,Pistons,Trail Blazers,15,85
124,109,Warriors,Suns,80,20
116,120,Nets,76ers,17,83
92,83,Celtics,Magic,66,34
115,122,Mavericks,Raptors,12,88
113,121,Clippers,Thunder,29,71
92,91,Heat,Lakers,34,66
98,93,Kings,Warriors,7,93
106,99,Raptors,Pacers,61,39
129,117,Hornets,Hawks,57,43
118,110,76ers,Knicks,68,32
111,110,Bulls,Grizzlies,46,54
96,101,Clippers,Rockets,15,85
93,98,Pelicans,Spurs,36,64
113,120,Pistons,Nuggets,19,81
88,116,Suns,Jazz,6,94
105,113,Cavaliers,Trail Blazers,25,75
117,126,Bucks,Magic,66,34
125,124,Wizards,Celtics,25,75
119,123,Heat,Kings,63,37
106,117,Lakers,Warriors,15,85
101,98,Pacers,76ers,29,71
116,111,Timberwolves,Wizards,42,58
110,97,Mavericks,Knicks,40,60
119,107,Thunder,Hawks,65,35
116,102,Raptors,Nets,82,18
115,119,Hornets,Pelicans,28,72
112,106,Clippers,Bulls,65,35
72,108,Magic,Spurs,21,79
79,110,Pistons,Jazz,13,87
129,107,Cavaliers,Suns,68,32
103,112,Nuggets,Lakers,40,60
121,103,Bucks,Grizzlies,64,36
93,109,Spurs,Rockets,16,84
101,106,Kings,Thunder,8,92
99,115,Heat,Trail Blazers,22,78
132,106,Raptors,Knicks,79,21
129,122,Bulls,Hawks,38,62
103,109,Warriors,Timberwolves,52,48
116,99,Jazz,Pelicans,44,56
104,130,Kings,Nuggets,11,89
105,82,Rockets,Mavericks,85,15
99,97,Pacers,Celtics,28,72
120,97,76ers,Nets,66,34
113,127,Cavaliers,Lakers,41,59
115,122,Suns,Hornets,16,84
102,129,Wizards,Heat,39,61
80,114,Grizzlies,Mavericks,20,80
94,104,Spurs,Thunder,30,70
105,113,Magic,Clippers,14,86
87,112,Hawks,Pacers,17,83
83,99,Bulls,Pistons,29,71
105,108,Rockets,Raptors,48,52
112,120,Knicks,Bucks,22,78
95,78,Jazz,Grizzlies,75,25
116,97,Wizards,Pelicans,31,69
116,125,Lakers,Nuggets,27,73
108,125,Warriors,Trail Blazers,45,55
88,94,Magic,Kings,44,56
102,116,Cavaliers,Clippers,31,69
125,111,Nets,Hornets,17,83
99,108,76ers,Heat,53,47
117,109,Celtics,Timberwolves,37,63
87,115,Suns,Thunder,9,91
107,110,Spurs,Warriors,18,82
104,84,Jazz,Pacers,42,58
110,99,Rockets,Bucks,67,33
110,119,Grizzlies,Bulls,31,69
121,119,Raptors,Pistons,68,32
114,101,Pelicans,Kings,66,34
107,108,Magic,Lakers,21,79
