conf,n,prop,year
E,5,0.5,1980
W,5,0.5,1980
E,4,0.4,1981
W,6,0.6,1981
E,4,0.4,1982
W,6,0.6,1982
E,6,0.6,1983
W,4,0.4,1983
E,6,0.6,1984
W,4,0.4,1984
E,7,0.7,1985
W,3,0.3,1985
E,5,0.5,1986
W,5,0.5,1986
E,7,0.7,1987
W,3,0.3,1987
E,5,0.5,1988
W,5,0.5,1988
E,7,0.4666666666666667,1989
W,8,0.5333333333333333,1989
E,5,0.3333333333333333,1990
W,10,0.6666666666666666,1990
E,6,0.4,1991
W,9,0.6,1991
E,8,0.5333333333333333,1992
W,7,0.4666666666666667,1992
E,9,0.6,1993
W,6,0.4,1993
E,4,0.26666666666666666,1994
W,10,0.6666666666666666,1994
NA,1,0.06666666666666667,1994
E,4,0.26666666666666666,1995
W,10,0.6666666666666666,1995
NA,1,0.06666666666666667,1995
E,7,0.4666666666666667,1996
W,8,0.5333333333333333,1996
E,9,0.6,1997
W,6,0.4,1997
E,8,0.5333333333333333,1998
W,7,0.4666666666666667,1998
E,4,0.26666666666666666,1999
W,11,0.7333333333333333,1999
E,6,0.4,2000
W,9,0.6,2000
E,4,0.26666666666666666,2001
W,10,0.6666666666666666,2001
NA,1,0.06666666666666667,2001
E,7,0.4666666666666667,2002
W,8,0.5333333333333333,2002
E,7,0.4666666666666667,2003
W,8,0.5333333333333333,2003
E,7,0.4666666666666667,2004
W,8,0.5333333333333333,2004
E,6,0.4,2005
W,9,0.6,2005
E,7,0.4666666666666667,2006
W,8,0.5333333333333333,2006
E,6,0.4,2007
W,9,0.6,2007
E,4,0.26666666666666666,2008
W,11,0.7333333333333333,2008
E,4,0.26666666666666666,2009
W,10,0.6666666666666666,2009
NA,1,0.06666666666666667,2009
E,5,0.3333333333333333,2010
W,10,0.6666666666666666,2010
E,6,0.4,2011
W,9,0.6,2011
E,6,0.4,2012
W,9,0.6,2012
E,4,0.26666666666666666,2013
W,11,0.7333333333333333,2013
E,4,0.26666666666666666,2014
W,11,0.7333333333333333,2014
E,3,0.2,2015
W,12,0.8,2015
E,4,0.26666666666666666,2016
W,11,0.7333333333333333,2016
E,6,0.4,2017
W,9,0.6,2017
E,5,0.3333333333333333,2018
W,10,0.6666666666666666,2018
