team,per,conf,year
PHI,25.4,E,1980
LAL,25.3,W,1980
UTA,24.3,W,1980
HOU,24.1,E,1980
SAS,24,E,1980
SDC,22.7,W,1980
DEN,22.2,W,1980
MIL,22,W,1980
NYK,21.6,E,1980
PHO,21.3,W,1980
PHO,21.1,W,1980
LAL,20.6,W,1980
SEA,20.6,W,1980
BOS,20.5,E,1980
TOT,20.4,NA,1980
IND,20.3,E,1980
GSW,20,W,1980
CHI,19.9,W,1980
ATL,19.7,E,1980
PHI,19.5,E,1980
LAL,25.5,W,1981
BOS,25.2,E,1981
HOU,25.1,W,1981
PHI,25.1,E,1981
UTA,24.3,W,1981
SAS,22.9,W,1981
MIL,22,E,1981
CHI,21.7,E,1981
DEN,21.7,W,1981
ATL,20.7,E,1981
KCK,20.3,W,1981
PHO,20.3,W,1981
SDC,20.2,W,1981
PHI,20.1,E,1981
GSW,19.9,W,1981
BOS,19.9,E,1981
IND,19.9,E,1981
DEN,19.7,W,1981
MIL,19.7,E,1981
GSW,19.5,W,1981
HOU,26.8,W,1982
PHI,25.9,E,1982
UTA,24.2,W,1982
SAS,24.2,W,1982
LAL,23.4,W,1982
DEN,23.1,W,1982
LAL,22.9,W,1982
BOS,22.6,E,1982
BOS,22.6,E,1982
CHI,22.4,E,1982
DEN,22.2,W,1982
SEA,21.8,W,1982
SEA,20.6,W,1982
MIL,20.1,E,1982
GSW,19.8,W,1982
ATL,19.5,E,1982
PHI,19.3,E,1982
POR,19.2,W,1982
POR,19,W,1982
NJN,19,E,1982
PHI,25.1,E,1983
DEN,24.1,W,1983
BOS,24.1,E,1983
LAL,23.6,W,1983
PHI,23.1,E,1983
LAL,23,W,1983
BOS,23,E,1983
SDC,22.8,W,1983
MIL,22.6,E,1983
DEN,21.8,W,1983
DEN,21.6,W,1983
SAS,21.2,W,1983
MIL,21.1,E,1983
SAS,20.5,W,1983
DAL,20.5,W,1983
SEA,20.5,W,1983
IND,20.3,E,1983
NYK,20.3,E,1983
POR,20.1,W,1983
GSW,20.1,W,1983
UTA,24.6,W,1984
BOS,24.2,E,1984
DEN,23.6,W,1984
DAL,23.5,W,1984
PHI,22.9,E,1984
NYK,22.7,E,1984
LAL,22.6,W,1984
DEN,22.2,W,1984
PHI,21.8,E,1984
LAL,21.3,W,1984
DEN,21.1,W,1984
DET,20.9,E,1984
UTA,20.5,W,1984
HOU,20.1,W,1984
BOS,20,E,1984
SDC,19.8,W,1984
MIL,19.8,E,1984
DAL,19.8,W,1984
