year,ast
1980,25.8
1980,28
1980,24
1980,25.8
1980,25.9
1980,24.9
1980,26.5
1980,25.6
1980,26.9
1980,26.1
1980,22.1
1980,24.3
1980,23.9
1980,24.2
1980,24.9
1980,20.2
1980,25.5
1980,25.9
1980,23.5
1980,24.4
1980,23.4
1980,24.9
1981,22.2
1981,27.2
1981,24.1
1981,27.7
1981,27.9
1981,26.3
1981,25.6
1981,26.5
1981,24.4
1981,23.2
1981,25.3
1981,23.7
1981,25.2
1981,27.1
1981,23.8
1981,25.5
1981,24.1
1981,25.5
1981,22.4
1981,23.5
1981,24.4
1981,24.3
1981,21.8
1982,25
1982,27.6
1982,26.7
1982,25.4
1982,27.2
1982,23.5
1982,22.1
1982,21.8
1982,24.8
1982,22.5
1982,27.1
1982,25.4
1982,24.4
1982,24.7
1982,24.9
1982,25.2
1982,27
1982,24.7
1982,26.1
1982,24.2
1982,22.8
1982,23.3
1982,23
1983,25.4
1983,29.5
1983,26.5
1983,24.5
1983,26.4
1983,24
1983,25.8
1983,23.8
1983,23.7
1983,26.8
1983,24.6
1983,25
1983,22.9
1983,24.5
1983,24.4
1983,27.5
1983,25.6
1983,25.1
1983,23.9
1983,25.4
1983,23
1983,24.9
1983,21.6
1984,27.2
1984,26.6
1984,26.2
1984,28.7
1984,25.8
1984,25
1984,25.6
1984,26.5
1984,23.8
1984,25.6
1984,26.3
1984,26.3
1984,25.3
1984,21.5
1984,27.2
1984,24.5
1984,24.9
1984,26.3
1984,25.8
1984,25.2
1984,27.1
1984,24
1984,23.2
1985,25.5
1985,30.3
1985,26.5
1985,25.9
1985,27.2
1985,27
1985,27.4
1985,24
1985,26.5
1985,26.3
1985,26.3
1985,20.6
1985,26
1985,24.8
1985,24.3
1985,25
1985,22.5
1985,27.6
1985,23.3
1985,24.3
1985,25.2
1985,24.3
1985,26.8
1986,28.7
1986,25
1986,25.2
1986,24.4
1986,25.6
1986,27.2
1986,27
1986,28.5
1986,23.5
1986,26.4
1986,24.2
1986,26.3
1986,24.3
1986,25
1986,27.4
1986,23.3
1986,24.5
1986,25.8
1986,24.6
1986,24.4
1986,26
1986,21.3
1986,23.1
1987,27.2
1987,29.1
1987,26.5
1987,24.2
1987,25.9
1987,29.7
1987,24.7
1987,24.2
1987,27.9
1987,26.2
1987,24.7
1987,25.9
1987,23.6
1987,26.5
1987,26.4
1987,27.1
1987,24.1
1987,26.4
1987,21.3
1987,27.1
1987,23.3
1987,22.9
1987,23.9
1988,26.5
1988,27.1
1988,30.3
1988,27.2
1988,28.7
1988,25.9
1988,24.8
1988,24.8
