year,pace
1980,102.6
1980,104.1
1980,101.8
1980,103
1980,102.4
1980,104.8
1980,98.9
1980,103.2
1980,105.6
1980,101.2
1980,109.5
1980,104.4
1980,98.6
1980,106.5
1980,106.1
1980,102.6
1980,101.8
1980,101.4
1980,100.5
1980,103.9
1980,97.6
1980,107.1
1981,103.4
1981,103.6
1981,100.8
1981,104.7
1981,102.7
1981,100.6
1981,102.9
1981,101
1981,100.9
1981,103
1981,102.4
1981,100.5
1981,101.3
1981,109.8
1981,101
1981,100.2
1981,100.3
1981,99.4
1981,100.8
1981,105.2
1981,101.2
1981,97.7
1981,98.6
1982,101.5
1982,100.6
1982,100
1982,103.1
1982,100
1982,99.5
1982,102.5
1982,99.4
1982,103.1
1982,95.1
1982,101.4
1982,100.5
1982,109.8
1982,97.2
1982,104.3
1982,98.7
1982,99
1982,99.5
1982,101.8
1982,98.5
1982,103.9
1982,101.4
1982,99.3
1983,102.7
1983,104
1983,103.8
1983,101.6
1983,100
1983,103.3
1983,103.2
1983,104
1983,97
1983,101
1983,106.6
1983,112.1
1983,99.4
1983,105.8
1983,102.8
1983,98.9
1983,104
1983,107.3
1983,106.1
1983,103
1983,103.9
1983,97.6
1983,102.2
1984,99.7
1984,96.9
1984,99
1984,103.8
1984,103.7
1984,101.1
1984,99.6
1984,103
1984,104.9
1984,101.4
1984,99
1984,99.7
1984,106.5
1984,95.3
1984,110.5
1984,102.9
1984,97.4
1984,104.7
1984,101.1
1984,103.3
1984,97.4
1984,102.1
1984,99.8
1985,99.7
1985,103.2
1985,101.6
1985,100.8
1985,103.5
1985,105
1985,107.6
1985,98.8
1985,102.2
1985,101
1985,103.9
1985,100.3
1985,105.1
1985,99.4
1985,99.8
1985,101.9
1985,102.5
1985,104.4
1985,99.5
1985,100.9
1985,99.3
1985,105.1
1985,103.2
1986,101.2
1986,102.1
1986,102.7
1986,100
1986,100.5
1986,103.5
1986,104.2
1986,106.7
1986,102.2
1986,104.5
1986,97.4
1986,103.3
1986,99.1
1986,103.3
1986,103.8
1986,101.6
1986,100.9
1986,99.7
1986,104.8
1986,102
1986,104.2
1986,98.6
1986,102.7
1987,101.6
1987,97.4
1987,98.6
1987,100.5
1987,100.3
1987,101
1987,105
1987,95.8
1987,99.9
1987,97.3
1987,101.8
1987,103.2
1987,98.8
1987,100.2
1987,106.2
1987,101.7
1987,102
1987,101.3
1987,101.3
1987,101.8
1987,101.7
1987,98.5
1987,102.7
1988,97.9
1988,98.3
1988,99.1
1988,96.4
1988,95.5
1988,97
1988,103.6
1988,105.5
1988,101.5
1988,100.2
1988,97.3
1988,97.6
1988,101.8
1988,99.1
1988,98.1
1988,98
1988,96
1988,101.2
1988,104.4
1988,100.9
1988,98.6
1988,101.6
1988,100.8
1989,98
1989,104.5
1989,100.1
1989,95.5
1989,98.3
1989,98.6
1989,98
1989,104.4
1989,100.1
1989,97
1989,98.5
1989,98.1
1989,103.9
1989,107.5
1989,101.8
1989,107.3
1989,100.8
1989,95.9
1989,99.2
1989,100.5
1989,100.1
1989,104.1
1989,100.3
1989,104.4
1989,99.1
1990,100.7
1990,96.3
1990,102.3
1990,94.4
1990,96.1
1990,96.5
1990,98.5
1990,98.2
1990,96.7
1990,101.2
1990,105.4
1990,95.3
1990,98.2
1990,95.8
1990,94.5
1990,97
1990,95
1990,98
1990,99.4
1990,105.9
1990,99.2
1990,91.1
1990,96.7
1990,98.1
1990,99.3
1990,104.1
1990,101
1991,95.6
1991,100.5
1991,94.1
1991,101
1991,98.5
1991,98.6
1991,98.5
1991,95.3
1991,91.9
1991,96.1
1991,103.6
1991,96.2
1991,98.6
1991,99.4
1991,95.7
1991,95
1991,95.1
1991,99.9
1991,92.3
1991,99.5
1991,94.2
1991,99.3
1991,97.5
1991,97.3
1991,99.3
1991,94.7
1991,113.7
1992,94.4
1992,99
1992,95.5
1992,99.4
1992,95
1992,103.4
1992,92.9
1992,95.8
1992,96.2
1992,91.6
1992,95.4
1992,99
1992,96.5
1992,92.5
1992,97.8
1992,93.7
1992,95.5
1992,98
1992,95.1
1992,101.7
1992,97.7
1992,97.7
1992,99.6
1992,98
1992,95.1
1992,94.4
1992,98.6
1993,96
1993,94.8
1993,99.8
1993,92.5
1993,94.5
1993,94.4
1993,99.1
1993,95.4
1993,96
1993,96.5
1993,96.3
1993,96
1993,94.9
1993,99.1
1993,100.2
1993,97.6
1993,94.6
1993,99.5
1993,93.2
1993,96.2
1993,99.8
1993,100.8
1993,96.1
1993,98.5
1993,97.7
1993,93.8
1993,99.5
1994,95.1
1994,92.8
1994,90.1
1994,94.2
1994,96.7
1994,95
1994,93.1
1994,95.2
1994,91.7
1994,93.3
1994,91.9
1994,98.8
1994,93.8
1994,95.5
1994,99.1
1994,96.1
1994,97.5
1994,95.5
1994,95.6
1994,99.6
1994,97.5
1994,94.5
1994,94.7
1994,95.9
1994,95.7
1994,94.2
1994,94.5
1995,95.5
1995,92.6
1995,95.1
1995,94.6
1995,92
1995,95.9
1995,93.8
1995,90
1995,91.2
1995,91.2
1995,94.2
1995,89.8
1995,91.5
1995,84.8
1995,95.2
1995,92.3
1995,92.9
1995,94
1995,94.7
1995,92.3
1995,92.7
1995,97.9
1995,91
1995,94.5
1995,93.2
1995,91.4
1995,94.3
1996,91.1
1996,93.8
1996,90
1996,93.3
1996,91.8
1996,92.4
1996,89.3
1996,82.3
1996,87.7
1996,91
1996,92.6
1996,93.2
1996,91.1
1996,89.6
1996,93.7
1996,93.2
1996,91.6
1996,93.4
1996,92.2
1996,93.4
1996,96.2
1996,93.2
1996,90.9
1996,95.4
1996,90.2
1996,93.5
1996,93.2
1996,92.2
1996,91
1997,90
1997,90
1997,90.3
1997,88.2
1997,86.8
1997,84.5
1997,91.6
1997,91.1
1997,90.9
1997,90.5
1997,82.9
1997,88.6
1997,92.4
1997,89
1997,93.2
1997,88.3
1997,89.5
1997,90.7
1997,90.6
1997,91.3
1997,91
1997,92.4
1997,91.9
1997,95.3
1997,92.4
1997,89
1997,95.8
