date,stars,text
10h ago,2,The low point in the Star Wars saga until Disney got their hands on it.
18h ago,4,"Wow, very evolutionary, because it showed us the origin of what the empire will be with the army of the clones, and more events during the development of this installment, although the evolution of our heroes is a bit slow, in the end it works , It is brilliant."
"Apr 17, 2021",1.5,It's just as bad if not worse than The Phantom Menace.
"Apr 15, 2021",3.5,"This movie was great, the only problem I have is that the first half is very boring and has a lot of corny love between Padme and Anikan. BUT the second half was amazing! which totally makes up for the first half/"
"Apr 15, 2021",3,"This is my least favourite Star Wars movie, it doesn't mean that i hate it, it's just the one that i think has the most flaws.
I acctually enjoy most of this movie, especially the action sequences and Obi-Wan but the romance badly written and some plot holes make this the weakest of the series."
"Apr 14, 2021",2,"SUPER-bland, airless computer graphics movie hampered by unfavorable comparison to a completely different (and more successful) movie aesthetic created in the Star Wars timeline twenty years earlier.

""Classic"" Star Wars characters (played by puppets or robotic props) appear, for instance the absurd ""Yoda showdown"" that shows how bad CGI animation, improbably storytelling and a general Big Hollywood Flair for shallow, sugary details can disappoint an audience. Critics at the time couldn't be bothered being nice to this one either; unfortunately none other than George Lucas was behind the wheel, suggesting whatever gift he had for tactile fantasy sequences and dynamic casting had completely left him at this point. The great concept artist Ralph McQuarrie from the original trilogy didn't appear at this point, replaced by someone that likes insectile, flimsy design and over-cluttered backgrounds. Motion picture release spawned retail toy items, low quality ""Clone Wars"" animated spinoff feature also."
"Apr 12, 2021",4,"Super interesting and engaging story, although the execution isn't perfect. Like Episode 1, the action is phenomenal and the last 30 minutes has some of the best sequences of the whole saga. Also, I find the mystery plot line with Obi Wan to be very enjoyable and the romance with Anakin and Padme to be a little cringe worthy at times, but it's realistic and makes sense."
"Apr 10, 2021",5,A guilty pleasure. Call me crazy but I love the prequels.
"Apr 09, 2021",2,"I don't know how the critics favour this more than phantom menace. Honestly, Episode I and II are the weakest films in the prequels. Especially this one. Once again we get film sets and cgi galore that do look great, but we get poorly written dialogue, strange acting that feels unnatural and a plot that just seems improvised the more the film goes on. The romantic chemistry is worse than Twilight. Yeah, you heard me. In conclusion, this film gets a star for good special effects/sound and a star for the soundtrack."
"Apr 08, 2021",1,"Eurghhhhhhhh another interminably boring Star Wars film. Please put me out my misery. One more to watch tomorrow. 

Plus points, slightly better CGI than prior films and Nathalie Portman wearing tight white trousers and crop top. Downsides? Literally everything else."
"Apr 03, 2021",2.5,Movie had its moments. it could've had more action and less romance.
"Apr 01, 2021",2.5,The dialogue is awful and the effects are dated but at least the story makes more sense than its predecessor's.
"Apr 01, 2021",5,"Ok I get the criticism, but Jango Fett tho. I'm mean I'm Richard and its Star Wars so obv I love it."
"Mar 23, 2021",3.5,This movie is alright a few people think this is the worst star wars movie and I completely disagree I mean it had way less Jar Jar Binks in it he is is kind off less in is kinda less annoying in this movie then he was in The Phantom Menace. The movie had a rather good plot line with the clones . Is there downsides? yes there's a few but like one you know who Darth Sidious is a mile away and the Anakin and Padme scenes are sometimes cute but mostly cringy . And Count Dooku is the best bit of the film he is a amazing villian and has a very scary personality
"Mar 23, 2021",3.5,Ohne Romanze ist es ganz gut.
"Mar 22, 2021",1.5,Second worst star wars movie. The whole thing felt like a joke.
"Mar 21, 2021",2,20.03.2021 ---------
"Mar 20, 2021",5,How you like me now that you’ve seen the last 3 episodes? Huh ??? In comparison this is so much better. 
