rating,text,visual_style
0.5,"Wes blanderson with his magnum opus assteroid shitty Wes’s use of absurdity and playfulness as a vehicle to demonstrate and unpack, very deep and often painful themes is one I think is genuinely very interesting. What the problem is is that Wes Anderson takes that concept and buries it under a story and characters so bad it is genuinely impressive. Asteroid city does not have characters it has Caricatures at best and cardboard Cut outs of people the rest of…",0
0.5,ASSteroid city,0
0.5,"Unspeakably evil to put the only visibly Native character as a gun wielding defender of the US government, especially given the current day Native lead struggles against the Bureau of Land Management conspiring with mining corporations to destroy their land. I am not even a ""representation in films matters"" person but that choice just shows you everything you need to know about the gleefully ignorant perspective behind this film. People mistake neuroticism for thoughtfulness. I went into this movie hoping…",0
0.5,"SFF2023: Film 1 ""YoU cAn'T WaKe uP If yOu DoN't FaLL AsLeEp."" Awful, truly and genuinely awful, what a start to the Sydney Film Festival for me. I hate Wes Anderson fans, all of you, without any exception. Anything is excused because of style, you guys will take any and all bullshit and go ""Mmmm you just don't get it, you see, Wes Anderson is supposed to be like this,"" while you push your horn-rimmed glasses up your nose and…",0
0.5,"A labor to sit through. All style, no substance",0
0.5,"Wes Anderson could direct a 2 hour movie of me pinching a loaf, and Wes stans would still find it amazing.",0
0.5,why does wes anderson make actors act like they can’t act???,0
0.5,"The only reason I won't say this is worse than Verotika is because of those cowboy paintings which unfortunately didn't have much to do with the rest of the film but the film itself didn't have much to do with the rest of the film. I feel this movie was AI generated based in West* Anderson movies, and in a week they're going to make the announcement. I'm a neutral Wes watcher, for the record. Some bored me some were…",0
0.5,"If you ignore the style, the colors and the symmetry there is literally NOTHING in this movie",1
0.5,"Now lemme get something clear I've never seen a Wes Anderson film in my life and I just gotta say I'll never watch one of his again. This movie got me yawning, people were laughing in the room and up to now I still have no idea what was funny. Like literally, a character will do a minimum gesture and people were dying, somebody dropped something people laughed, even when the alien appeared, it didn't even do anything it just…",0
0.5,very nothing,0
0.5,can we please stop pretending to like this,0
0.5,"Gruelling. If the point of this movie is for Wes Anderson to parody the parodies of Wes Anderson, he nailed it, but what was the point? In the end, an incredible cast (as always) can't make this film feel any shorter than the lifetime it takes to end.",0
0.5,"Truly no words can explain this nonsensical mess of a movie. It makes no sense. It has no story. It has no characters. No plot. It manages to look pretty while at the same time looking like tie dyed shirts got put into a Nutribullet. I just don't even know how to review this thing, movie, play, whatever it is you would call whatever this thing is. Every facet of this movie is fake, there is no way for actual humans to actually connect to the emotions this movie thinks it wants you to have.",1
0.5,Isteroid City,0
0.5,Most boring movie Ive seen this decade. This type of boring movie where nothing happens and its lame as hell is what is killing movie theaters and film.,0
0.5,I slept through it so it didn’t make sense,0
0.5,"Somehow Wes reached a new nadir with this film, surpassing the French Dispatch. Quirky visuals and an all-star cast cannot carry a film",1
0.5,No one can convince me that this is a good movie. Only positive is the shot selection and color style.,1
