date,keyword,hits
2008-11-01T05:00:00Z,belair,0
2008-12-01T06:00:00Z,belair,0
2009-01-01T06:00:00Z,belair,34
2009-02-01T06:00:00Z,belair,0
2009-03-01T06:00:00Z,belair,32
2009-04-01T05:00:00Z,belair,0
2009-05-01T05:00:00Z,belair,100
2009-06-01T05:00:00Z,belair,39
2009-07-01T05:00:00Z,belair,0
2009-08-01T05:00:00Z,belair,33
2009-09-01T05:00:00Z,belair,31
2009-10-01T05:00:00Z,belair,0
2009-11-01T05:00:00Z,belair,31
2009-12-01T06:00:00Z,belair,0
2010-01-01T06:00:00Z,belair,37
2010-02-01T06:00:00Z,belair,0
2010-03-01T06:00:00Z,belair,36
2010-04-01T05:00:00Z,belair,28
2010-05-01T05:00:00Z,belair,0
2010-06-01T05:00:00Z,belair,34
2010-07-01T05:00:00Z,belair,0
2010-08-01T05:00:00Z,belair,0
2010-09-01T05:00:00Z,belair,0
2010-10-01T05:00:00Z,belair,30
2010-11-01T05:00:00Z,belair,30
2010-12-01T06:00:00Z,belair,39
2011-01-01T06:00:00Z,belair,21
2011-02-01T06:00:00Z,belair,19
2011-03-01T06:00:00Z,belair,23
2011-04-01T05:00:00Z,belair,0
2011-05-01T05:00:00Z,belair,18
2011-06-01T05:00:00Z,belair,18
2011-07-01T05:00:00Z,belair,25
2011-08-01T05:00:00Z,belair,0
2011-09-01T05:00:00Z,belair,22
2011-10-01T05:00:00Z,belair,0
2011-11-01T05:00:00Z,belair,31
2011-12-01T06:00:00Z,belair,27
2012-01-01T06:00:00Z,belair,28
2012-02-01T06:00:00Z,belair,0
2012-03-01T06:00:00Z,belair,14
2012-04-01T05:00:00Z,belair,19
2012-05-01T05:00:00Z,belair,14
2012-06-01T05:00:00Z,belair,26
2012-07-01T05:00:00Z,belair,0
2012-08-01T05:00:00Z,belair,0
2012-09-01T05:00:00Z,belair,23
2012-10-01T05:00:00Z,belair,12
2012-11-01T05:00:00Z,belair,25
2012-12-01T06:00:00Z,belair,19
2013-01-01T06:00:00Z,belair,11
2013-02-01T06:00:00Z,belair,0
2013-03-01T06:00:00Z,belair,15
2013-04-01T05:00:00Z,belair,15
2013-05-01T05:00:00Z,belair,20
2013-06-01T05:00:00Z,belair,12
2013-07-01T05:00:00Z,belair,17
2013-08-01T05:00:00Z,belair,0
2013-09-01T05:00:00Z,belair,13
2013-10-01T05:00:00Z,belair,12
2013-11-01T05:00:00Z,belair,19
2013-12-01T06:00:00Z,belair,11
2014-01-01T06:00:00Z,belair,18
2014-02-01T06:00:00Z,belair,21
2014-03-01T06:00:00Z,belair,10
2014-04-01T05:00:00Z,belair,11
2014-05-01T05:00:00Z,belair,21
2014-06-01T05:00:00Z,belair,26
2014-07-01T05:00:00Z,belair,0
2014-08-01T05:00:00Z,belair,19
2014-09-01T05:00:00Z,belair,0
2014-10-01T05:00:00Z,belair,17
2014-11-01T05:00:00Z,belair,28
2014-12-01T06:00:00Z,belair,18
2015-01-01T06:00:00Z,belair,23
2015-02-01T06:00:00Z,belair,18
2015-03-01T06:00:00Z,belair,13
2015-04-01T05:00:00Z,belair,18
2015-05-01T05:00:00Z,belair,18
2015-06-01T05:00:00Z,belair,14
2015-07-01T05:00:00Z,belair,12
2015-08-01T05:00:00Z,belair,19
2015-09-01T05:00:00Z,belair,16
2015-10-01T05:00:00Z,belair,23
2015-11-01T05:00:00Z,belair,12
2015-12-01T06:00:00Z,belair,29
2016-01-01T06:00:00Z,belair,9
2016-02-01T06:00:00Z,belair,14
2016-03-01T06:00:00Z,belair,9
2016-04-01T05:00:00Z,belair,9
2016-05-01T05:00:00Z,belair,9
2016-06-01T05:00:00Z,belair,15
2016-07-01T05:00:00Z,belair,10
2016-08-01T05:00:00Z,belair,13
2016-09-01T05:00:00Z,belair,11
2016-10-01T05:00:00Z,belair,16
2008-11-01T05:00:00Z,capri,40
2008-12-01T06:00:00Z,capri,56
2009-01-01T06:00:00Z,capri,30
2009-02-01T06:00:00Z,capri,49
2009-03-01T06:00:00Z,capri,100
2009-04-01T05:00:00Z,capri,77
2009-05-01T05:00:00Z,capri,39
2009-06-01T05:00:00Z,capri,70
2009-07-01T05:00:00Z,capri,91
2009-08-01T05:00:00Z,capri,48
2009-09-01T05:00:00Z,capri,68
2009-10-01T05:00:00Z,capri,41
2009-11-01T05:00:00Z,capri,45
2009-12-01T06:00:00Z,capri,56
2010-01-01T06:00:00Z,capri,61
2010-02-01T06:00:00Z,capri,43
2010-03-01T06:00:00Z,capri,42
2010-04-01T05:00:00Z,capri,38
2010-05-01T05:00:00Z,capri,73
2010-06-01T05:00:00Z,capri,38
2010-07-01T05:00:00Z,capri,52
2010-08-01T05:00:00Z,capri,71
2010-09-01T05:00:00Z,capri,51
2010-10-01T05:00:00Z,capri,58
2010-11-01T05:00:00Z,capri,56
2010-12-01T06:00:00Z,capri,38
2011-01-01T06:00:00Z,capri,52
2011-02-01T06:00:00Z,capri,56
2011-03-01T06:00:00Z,capri,47
2011-04-01T05:00:00Z,capri,51
2011-05-01T05:00:00Z,capri,45
2011-06-01T05:00:00Z,capri,67
2011-07-01T05:00:00Z,capri,53
2011-08-01T05:00:00Z,capri,50
2011-09-01T05:00:00Z,capri,58
2011-10-01T05:00:00Z,capri,56
2011-11-01T05:00:00Z,capri,69
2011-12-01T06:00:00Z,capri,58
2012-01-01T06:00:00Z,capri,45
2012-02-01T06:00:00Z,capri,50
2012-03-01T06:00:00Z,capri,48
2012-04-01T05:00:00Z,capri,56
2012-05-01T05:00:00Z,capri,72
2012-06-01T05:00:00Z,capri,82
2012-07-01T05:00:00Z,capri,64
2012-08-01T05:00:00Z,capri,57
2012-09-01T05:00:00Z,capri,73
2012-10-01T05:00:00Z,capri,40
2012-11-01T05:00:00Z,capri,54
2012-12-01T06:00:00Z,capri,64
2013-01-01T06:00:00Z,capri,55
2013-02-01T06:00:00Z,capri,61
2013-03-01T06:00:00Z,capri,44
2013-04-01T05:00:00Z,capri,49
2013-05-01T05:00:00Z,capri,56
2013-06-01T05:00:00Z,capri,65
2013-07-01T05:00:00Z,capri,61
2013-08-01T05:00:00Z,capri,59
2013-09-01T05:00:00Z,capri,51
2013-10-01T05:00:00Z,capri,52
2013-11-01T05:00:00Z,capri,39
2013-12-01T06:00:00Z,capri,41
2014-01-01T06:00:00Z,capri,46
2014-02-01T06:00:00Z,capri,38
2014-03-01T06:00:00Z,capri,36
2014-04-01T05:00:00Z,capri,46
2014-05-01T05:00:00Z,capri,37
2014-06-01T05:00:00Z,capri,55
2014-07-01T05:00:00Z,capri,60
2014-08-01T05:00:00Z,capri,56
2014-09-01T05:00:00Z,capri,54
2014-10-01T05:00:00Z,capri,34
2014-11-01T05:00:00Z,capri,54
2014-12-01T06:00:00Z,capri,42
2015-01-01T06:00:00Z,capri,36
2015-02-01T06:00:00Z,capri,33
2015-03-01T06:00:00Z,capri,33
2015-04-01T05:00:00Z,capri,38
2015-05-01T05:00:00Z,capri,40
2015-06-01T05:00:00Z,capri,55
2015-07-01T05:00:00Z,capri,51
2015-08-01T05:00:00Z,capri,57
2015-09-01T05:00:00Z,capri,40
2015-10-01T05:00:00Z,capri,42
2015-11-01T05:00:00Z,capri,30
2015-12-01T06:00:00Z,capri,42
2016-01-01T06:00:00Z,capri,40
2016-02-01T06:00:00Z,capri,36
2016-03-01T06:00:00Z,capri,43
2016-04-01T05:00:00Z,capri,57
2016-05-01T05:00:00Z,capri,60
2016-06-01T05:00:00Z,capri,60
2016-07-01T05:00:00Z,capri,59
2016-08-01T05:00:00Z,capri,56
2016-09-01T05:00:00Z,capri,50
2016-10-01T05:00:00Z,capri,60
2008-11-01T05:00:00Z,carlton,45
2008-12-01T06:00:00Z,carlton,18
2009-01-01T06:00:00Z,carlton,36
2009-02-01T06:00:00Z,carlton,38
2009-03-01T06:00:00Z,carlton,85
2009-04-01T05:00:00Z,carlton,59
2009-05-01T05:00:00Z,carlton,100
2009-06-01T05:00:00Z,carlton,48
2009-07-01T05:00:00Z,carlton,71
2009-08-01T05:00:00Z,carlton,64
2009-09-01T05:00:00Z,carlton,56
2009-10-01T05:00:00Z,carlton,48
2009-11-01T05:00:00Z,carlton,60
2009-12-01T06:00:00Z,carlton,44
2010-01-01T06:00:00Z,carlton,60
2010-02-01T06:00:00Z,carlton,37
2010-03-01T06:00:00Z,carlton,62
2010-04-01T05:00:00Z,carlton,40
2010-05-01T05:00:00Z,carlton,36
2010-06-01T05:00:00Z,carlton,48
2010-07-01T05:00:00Z,carlton,74
2010-08-01T05:00:00Z,carlton,73
2010-09-01T05:00:00Z,carlton,66
2010-10-01T05:00:00Z,carlton,41
2010-11-01T05:00:00Z,carlton,11
2010-12-01T06:00:00Z,carlton,44
2011-01-01T06:00:00Z,carlton,36
2011-02-01T06:00:00Z,carlton,41
2011-03-01T06:00:00Z,carlton,24
2011-04-01T05:00:00Z,carlton,48
2011-05-01T05:00:00Z,carlton,50
2011-06-01T05:00:00Z,carlton,22
2011-07-01T05:00:00Z,carlton,41
2011-08-01T05:00:00Z,carlton,32
2011-09-01T05:00:00Z,carlton,41
2011-10-01T05:00:00Z,carlton,42
2011-11-01T05:00:00Z,carlton,25
2011-12-01T06:00:00Z,carlton,22
2012-01-01T06:00:00Z,carlton,45
2012-02-01T06:00:00Z,carlton,36
2012-03-01T06:00:00Z,carlton,22
2012-04-01T05:00:00Z,carlton,30
2012-05-01T05:00:00Z,carlton,37
2012-06-01T05:00:00Z,carlton,33
2012-07-01T05:00:00Z,carlton,49
2012-08-01T05:00:00Z,carlton,43
2012-09-01T05:00:00Z,carlton,41
2012-10-01T05:00:00Z,carlton,39
2012-11-01T05:00:00Z,carlton,25
2012-12-01T06:00:00Z,carlton,40
2013-01-01T06:00:00Z,carlton,31
2013-02-01T06:00:00Z,carlton,40
2013-03-01T06:00:00Z,carlton,47
2013-04-01T05:00:00Z,carlton,27
2013-05-01T05:00:00Z,carlton,27
2013-06-01T05:00:00Z,carlton,28
2013-07-01T05:00:00Z,carlton,50
2013-08-01T05:00:00Z,carlton,47
2013-09-01T05:00:00Z,carlton,19
2013-10-01T05:00:00Z,carlton,45
2013-11-01T05:00:00Z,carlton,26
2013-12-01T06:00:00Z,carlton,30
2014-01-01T06:00:00Z,carlton,32
2014-02-01T06:00:00Z,carlton,31
2014-03-01T06:00:00Z,carlton,34
2014-04-01T05:00:00Z,carlton,29
2014-05-01T05:00:00Z,carlton,35
2014-06-01T05:00:00Z,carlton,21
2014-07-01T05:00:00Z,carlton,32
2014-08-01T05:00:00Z,carlton,31
2014-09-01T05:00:00Z,carlton,24
2014-10-01T05:00:00Z,carlton,29
2014-11-01T05:00:00Z,carlton,15
2014-12-01T06:00:00Z,carlton,36
2015-01-01T06:00:00Z,carlton,27
2015-02-01T06:00:00Z,carlton,15
2015-03-01T06:00:00Z,carlton,37
2015-04-01T05:00:00Z,carlton,21
2015-05-01T05:00:00Z,carlton,24
2015-06-01T05:00:00Z,carlton,36
2015-07-01T05:00:00Z,carlton,29
2015-08-01T05:00:00Z,carlton,26
2015-09-01T05:00:00Z,carlton,17
2015-10-01T05:00:00Z,carlton,32
2015-11-01T05:00:00Z,carlton,27
2015-12-01T06:00:00Z,carlton,12
2016-01-01T06:00:00Z,carlton,25
2016-02-01T06:00:00Z,carlton,21
2016-03-01T06:00:00Z,carlton,29
2016-04-01T05:00:00Z,carlton,22
2016-05-01T05:00:00Z,carlton,25
2016-06-01T05:00:00Z,carlton,44
2016-07-01T05:00:00Z,carlton,19
2016-08-01T05:00:00Z,carlton,37
2016-09-01T05:00:00Z,carlton,34
2016-10-01T05:00:00Z,carlton,18
2008-11-01T05:00:00Z,gpc,46
2008-12-01T06:00:00Z,gpc,25
2009-01-01T06:00:00Z,gpc,53
2009-02-01T06:00:00Z,gpc,44
2009-03-01T06:00:00Z,gpc,100
2009-04-01T05:00:00Z,gpc,52
2009-05-01T05:00:00Z,gpc,67
2009-06-01T05:00:00Z,gpc,46
2009-07-01T05:00:00Z,gpc,41
2009-08-01T05:00:00Z,gpc,20
2009-09-01T05:00:00Z,gpc,29
2009-10-01T05:00:00Z,gpc,27
2009-11-01T05:00:00Z,gpc,20
2009-12-01T06:00:00Z,gpc,74
2010-01-01T06:00:00Z,gpc,30
2010-02-01T06:00:00Z,gpc,66
2010-03-01T06:00:00Z,gpc,33
2010-04-01T05:00:00Z,gpc,38
2010-05-01T05:00:00Z,gpc,40
2010-06-01T05:00:00Z,gpc,60
2010-07-01T05:00:00Z,gpc,40
2010-08-01T05:00:00Z,gpc,43
2010-09-01T05:00:00Z,gpc,33
2010-10-01T05:00:00Z,gpc,26
2010-11-01T05:00:00Z,gpc,31
2010-12-01T06:00:00Z,gpc,25
2011-01-01T06:00:00Z,gpc,28
2011-02-01T06:00:00Z,gpc,34
2011-03-01T06:00:00Z,gpc,31
2011-04-01T05:00:00Z,gpc,40
2011-05-01T05:00:00Z,gpc,24
2011-06-01T05:00:00Z,gpc,33
2011-07-01T05:00:00Z,gpc,16
2011-08-01T05:00:00Z,gpc,20
2011-09-01T05:00:00Z,gpc,30
2011-10-01T05:00:00Z,gpc,17
2011-11-01T05:00:00Z,gpc,24
2011-12-01T06:00:00Z,gpc,17
2012-01-01T06:00:00Z,gpc,28
2012-02-01T06:00:00Z,gpc,35
2012-03-01T06:00:00Z,gpc,15
2012-04-01T05:00:00Z,gpc,22
2012-05-01T05:00:00Z,gpc,31
2012-06-01T05:00:00Z,gpc,39
2012-07-01T05:00:00Z,gpc,28
2012-08-01T05:00:00Z,gpc,25
2012-09-01T05:00:00Z,gpc,46
2012-10-01T05:00:00Z,gpc,19
2012-11-01T05:00:00Z,gpc,13
2012-12-01T06:00:00Z,gpc,30
2013-01-01T06:00:00Z,gpc,23
2013-02-01T06:00:00Z,gpc,22
2013-03-01T06:00:00Z,gpc,20
2013-04-01T05:00:00Z,gpc,16
2013-05-01T05:00:00Z,gpc,23
2013-06-01T05:00:00Z,gpc,27
2013-07-01T05:00:00Z,gpc,26
2013-08-01T05:00:00Z,gpc,23
2013-09-01T05:00:00Z,gpc,29
2013-10-01T05:00:00Z,gpc,23
2013-11-01T05:00:00Z,gpc,20
2013-12-01T06:00:00Z,gpc,18
2014-01-01T06:00:00Z,gpc,36
2014-02-01T06:00:00Z,gpc,26
2014-03-01T06:00:00Z,gpc,19
2014-04-01T05:00:00Z,gpc,10
2014-05-01T05:00:00Z,gpc,31
2014-06-01T05:00:00Z,gpc,32
2014-07-01T05:00:00Z,gpc,25
2014-08-01T05:00:00Z,gpc,17
2014-09-01T05:00:00Z,gpc,19
2014-10-01T05:00:00Z,gpc,23
2014-11-01T05:00:00Z,gpc,27
2014-12-01T06:00:00Z,gpc,21
2015-01-01T06:00:00Z,gpc,21
2015-02-01T06:00:00Z,gpc,19
2015-03-01T06:00:00Z,gpc,26
2015-04-01T05:00:00Z,gpc,27
2015-05-01T05:00:00Z,gpc,27
2015-06-01T05:00:00Z,gpc,35
2015-07-01T05:00:00Z,gpc,23
2015-08-01T05:00:00Z,gpc,19
2015-09-01T05:00:00Z,gpc,13
2015-10-01T05:00:00Z,gpc,25
2015-11-01T05:00:00Z,gpc,10
2015-12-01T06:00:00Z,gpc,13
2016-01-01T06:00:00Z,gpc,27
2016-02-01T06:00:00Z,gpc,15
2016-03-01T06:00:00Z,gpc,16
2016-04-01T05:00:00Z,gpc,25
2016-05-01T05:00:00Z,gpc,17
2016-06-01T05:00:00Z,gpc,20
2016-07-01T05:00:00Z,gpc,35
2016-08-01T05:00:00Z,gpc,36
2016-09-01T05:00:00Z,gpc,13
2016-10-01T05:00:00Z,gpc,14
2008-11-01T05:00:00Z,lucky strike,53
2008-12-01T06:00:00Z,lucky strike,45
2009-01-01T06:00:00Z,lucky strike,58
2009-02-01T06:00:00Z,lucky strike,36
2009-03-01T06:00:00Z,lucky strike,43
2009-04-01T05:00:00Z,lucky strike,43
2009-05-01T05:00:00Z,lucky strike,44
2009-06-01T05:00:00Z,lucky strike,44
2009-07-01T05:00:00Z,lucky strike,43
2009-08-01T05:00:00Z,lucky strike,41
2009-09-01T05:00:00Z,lucky strike,39
2009-10-01T05:00:00Z,lucky strike,68
2009-11-01T05:00:00Z,lucky strike,62
2009-12-01T06:00:00Z,lucky strike,46
2010-01-01T06:00:00Z,lucky strike,51
2010-02-01T06:00:00Z,lucky strike,74
2010-03-01T06:00:00Z,lucky strike,62
2010-04-01T05:00:00Z,lucky strike,57
2010-05-01T05:00:00Z,lucky strike,49
2010-06-01T05:00:00Z,lucky strike,62
2010-07-01T05:00:00Z,lucky strike,60
2010-08-01T05:00:00Z,lucky strike,65
2010-09-01T05:00:00Z,lucky strike,73
2010-10-01T05:00:00Z,lucky strike,77
2010-11-01T05:00:00Z,lucky strike,59
2010-12-01T06:00:00Z,lucky strike,66
2011-01-01T06:00:00Z,lucky strike,68
2011-02-01T06:00:00Z,lucky strike,66
2011-03-01T06:00:00Z,lucky strike,48
2011-04-01T05:00:00Z,lucky strike,46
2011-05-01T05:00:00Z,lucky strike,43
2011-06-01T05:00:00Z,lucky strike,57
2011-07-01T05:00:00Z,lucky strike,63
2011-08-01T05:00:00Z,lucky strike,100
2011-09-01T05:00:00Z,lucky strike,80
2011-10-01T05:00:00Z,lucky strike,85
2011-11-01T05:00:00Z,lucky strike,67
2011-12-01T06:00:00Z,lucky strike,61
2012-01-01T06:00:00Z,lucky strike,70
2012-02-01T06:00:00Z,lucky strike,67
2012-03-01T06:00:00Z,lucky strike,78
2012-04-01T05:00:00Z,lucky strike,82
2012-05-01T05:00:00Z,lucky strike,76
2012-06-01T05:00:00Z,lucky strike,72
2012-07-01T05:00:00Z,lucky strike,72
2012-08-01T05:00:00Z,lucky strike,66
2012-09-01T05:00:00Z,lucky strike,62
2012-10-01T05:00:00Z,lucky strike,68
2012-11-01T05:00:00Z,lucky strike,59
2012-12-01T06:00:00Z,lucky strike,60
2013-01-01T06:00:00Z,lucky strike,50
2013-02-01T06:00:00Z,lucky strike,53
2013-03-01T06:00:00Z,lucky strike,61
2013-04-01T05:00:00Z,lucky strike,78
2013-05-01T05:00:00Z,lucky strike,59
2013-06-01T05:00:00Z,lucky strike,73
2013-07-01T05:00:00Z,lucky strike,57
2013-08-01T05:00:00Z,lucky strike,74
2013-09-01T05:00:00Z,lucky strike,71
2013-10-01T05:00:00Z,lucky strike,57
2013-11-01T05:00:00Z,lucky strike,68
2013-12-01T06:00:00Z,lucky strike,49
2014-01-01T06:00:00Z,lucky strike,70
2014-02-01T06:00:00Z,lucky strike,53
2014-03-01T06:00:00Z,lucky strike,57
2014-04-01T05:00:00Z,lucky strike,71
2014-05-01T05:00:00Z,lucky strike,56
2014-06-01T05:00:00Z,lucky strike,59
2014-07-01T05:00:00Z,lucky strike,63
2014-08-01T05:00:00Z,lucky strike,65
2014-09-01T05:00:00Z,lucky strike,61
2014-10-01T05:00:00Z,lucky strike,79
2014-11-01T05:00:00Z,lucky strike,70
2014-12-01T06:00:00Z,lucky strike,68
2015-01-01T06:00:00Z,lucky strike,67
2015-02-01T06:00:00Z,lucky strike,60
2015-03-01T06:00:00Z,lucky strike,56
2015-04-01T05:00:00Z,lucky strike,72
2015-05-01T05:00:00Z,lucky strike,62
2015-06-01T05:00:00Z,lucky strike,46
2015-07-01T05:00:00Z,lucky strike,53
2015-08-01T05:00:00Z,lucky strike,55
2015-09-01T05:00:00Z,lucky strike,47
2015-10-01T05:00:00Z,lucky strike,67
2015-11-01T05:00:00Z,lucky strike,37
2015-12-01T06:00:00Z,lucky strike,48
2016-01-01T06:00:00Z,lucky strike,58
2016-02-01T06:00:00Z,lucky strike,60
2016-03-01T06:00:00Z,lucky strike,57
2016-04-01T05:00:00Z,lucky strike,51
2016-05-01T05:00:00Z,lucky strike,51
2016-06-01T05:00:00Z,lucky strike,61
2016-07-01T05:00:00Z,lucky strike,58
2016-08-01T05:00:00Z,lucky strike,46
2016-09-01T05:00:00Z,lucky strike,59
2016-10-01T05:00:00Z,lucky strike,56
2008-11-01T05:00:00Z,misty,15
2008-12-01T06:00:00Z,misty,14
2009-01-01T06:00:00Z,misty,34
2009-02-01T06:00:00Z,misty,45
2009-03-01T06:00:00Z,misty,85
2009-04-01T05:00:00Z,misty,100
2009-05-01T05:00:00Z,misty,59
2009-06-01T05:00:00Z,misty,82
2009-07-01T05:00:00Z,misty,84
2009-08-01T05:00:00Z,misty,87
2009-09-01T05:00:00Z,misty,36
2009-10-01T05:00:00Z,misty,41
2009-11-01T05:00:00Z,misty,74
2009-12-01T06:00:00Z,misty,57
2010-01-01T06:00:00Z,misty,57
2010-02-01T06:00:00Z,misty,52
2010-03-01T06:00:00Z,misty,54
2010-04-01T05:00:00Z,misty,46
2010-05-01T05:00:00Z,misty,33
2010-06-01T05:00:00Z,misty,45
2010-07-01T05:00:00Z,misty,53
2010-08-01T05:00:00Z,misty,40
2010-09-01T05:00:00Z,misty,39
2010-10-01T05:00:00Z,misty,38
2010-11-01T05:00:00Z,misty,26
2010-12-01T06:00:00Z,misty,43
2011-01-01T06:00:00Z,misty,32
2011-02-01T06:00:00Z,misty,36
2011-03-01T06:00:00Z,misty,48
2011-04-01T05:00:00Z,misty,53
2011-05-01T05:00:00Z,misty,40
2011-06-01T05:00:00Z,misty,48
2011-07-01T05:00:00Z,misty,52
2011-08-01T05:00:00Z,misty,58
2011-09-01T05:00:00Z,misty,56
2011-10-01T05:00:00Z,misty,39
2011-11-01T05:00:00Z,misty,40
2011-12-01T06:00:00Z,misty,40
2012-01-01T06:00:00Z,misty,51
2012-02-01T06:00:00Z,misty,33
