viceroy,vantage,tareyton,now,misty,lucky strike,gpc,carlton,capri,belair
31,78,53,33,15,53,46,45,40,0
79,100,68,21,14,45,25,18,56,0
22,36,32,37,34,58,53,36,30,34
57,85,91,32,45,36,44,38,49,0
36,75,100,79,85,43,100,85,100,32
27,89,45,85,100,43,52,59,77,0
33,35,79,30,59,44,67,100,39,100
54,63,81,78,82,44,46,48,70,39
42,46,0,46,84,43,41,71,91,0
42,61,89,52,87,41,20,64,48,33
26,67,30,47,36,39,29,56,68,31
36,31,32,35,41,68,27,48,41,0
43,82,74,58,74,62,20,60,45,31
49,42,31,69,57,46,74,44,56,0
27,78,27,22,57,51,30,60,61,37
30,50,75,55,52,74,66,37,43,0
38,43,51,56,54,62,33,62,42,36
23,38,46,39,46,57,38,40,38,28
16,0,36,100,33,49,40,36,73,0
50,47,65,39,45,62,60,48,38,34
26,67,35,60,53,60,40,74,52,0
29,74,46,68,40,65,43,73,71,0
26,64,49,70,39,73,33,66,51,0
28,46,33,52,38,77,26,41,58,30
36,23,55,45,26,59,31,11,56,30
38,38,32,36,43,66,25,44,38,39
45,67,38,74,32,68,28,36,52,21
27,20,18,53,36,66,34,41,56,19
17,64,36,60,48,48,31,24,47,23
22,16,30,59,53,46,40,48,51,0
18,35,42,61,40,43,24,50,45,18
26,37,69,54,48,57,33,22,67,18
21,36,43,66,52,63,16,41,53,25
37,38,98,62,58,100,20,32,50,0
30,39,40,54,56,80,30,41,58,22
19,47,38,56,39,85,17,42,56,0
30,63,65,53,40,67,24,25,69,31
24,21,36,50,40,61,17,22,58,27
34,33,34,46,51,70,28,45,45,28
41,29,65,52,33,67,35,36,50,0
27,56,24,36,37,78,15,22,48,14
17,38,31,63,56,82,22,30,56,19
22,32,45,53,45,76,31,37,72,14
23,40,45,47,44,72,39,33,82,26
44,69,62,49,68,72,28,49,64,0
35,31,32,42,66,66,25,43,57,0
22,27,28,60,60,62,46,41,73,23
35,37,26,57,33,68,19,39,40,12
26,39,48,56,34,59,13,25,54,25
40,33,47,58,45,60,30,40,64,19
42,27,12,66,31,50,23,31,55,11
30,54,73,51,39,53,22,40,61,0
37,35,47,58,49,61,20,47,44,15
45,16,52,51,47,78,16,27,49,15
33,43,44,59,40,59,23,27,56,20
47,45,25,56,54,73,27,28,65,12
40,51,57,55,64,57,26,50,61,17
40,31,36,58,61,74,23,47,59,0
42,35,28,62,50,71,29,19,51,13
40,63,38,60,56,57,23,45,52,12
48,42,32,58,35,68,20,26,39,19
41,41,35,46,47,49,18,30,41,11
69,39,33,58,36,70,36,32,46,18
52,35,44,73,34,53,26,31,38,21
59,46,29,55,41,57,19,34,36,10
73,35,46,66,24,71,10,29,46,11
81,23,24,62,35,56,31,35,37,21
53,71,54,46,46,59,32,21,55,26
59,40,31,58,64,63,25,32,60,0
59,42,39,56,56,65,17,31,56,19
64,29,42,52,40,61,19,24,54,0
70,39,48,67,35,79,23,29,34,17
64,70,38,48,49,70,27,15,54,28
97,45,50,63,33,68,21,36,42,18
73,27,56,53,47,67,21,27,36,23
99,23,72,49,42,60,19,15,33,18
70,27,66,49,37,56,26,37,33,13
87,57,33,27,44,72,27,21,38,18
57,62,35,59,50,62,27,24,40,18
67,34,40,62,37,46,35,36,55,14
73,42,35,68,41,53,23,29,51,12
100,54,38,61,44,55,19,26,57,19
82,72,37,52,42,47,13,17,40,16
82,49,39,50,60,67,25,32,42,23
69,55,22,59,56,37,10,27,30,12
74,35,40,54,35,48,13,12,42,29
84,28,26,68,37,58,27,25,40,9
70,39,33,75,28,60,15,21,36,14
77,34,22,68,29,57,16,29,43,9
63,44,23,67,37,51,25,22,57,9
65,41,55,60,40,51,17,25,60,9
52,50,49,73,41,61,20,44,60,15
50,43,20,77,49,58,35,19,59,10
52,34,24,94,43,46,36,37,56,13
58,26,49,93,47,59,13,34,50,11
58,28,48,86,48,56,14,18,60,16
